NUM,ROMAJI,EXPECTED,SwiftKey 6.4.8.57 (S),# characters,edit distance
119,yamaokakantokutotashiromutsuminomaniha,山岡監督と田代睦美の間には,山岡監督と田代むつみのまには,13,4
120,toiuokusokugatobikatteiru,という憶測が飛び交っている,という憶測が飛び交っている,13,0
121,masukomidewadaininatteirujikendakeni,マスコミで話題になっている事件だけに,マスコミで話題になっている事件だけに,18,0
122,shousosurebajimushononamaegaagarimasune,勝訴すれば事務所の名前が上がりますね,勝訴すれば事務所のなまえがあがりますね,18,4
123,anatagasokomadeiundattara,あなたがそこまで言うんだったら,貴方がそこまで言うんだったら,15,3
124,sorehawatashigayokushitteimasu,それは私がよく知っています,それは私がよく知っています,13,0
125,hoterunosaijoukainiarutenboufuro,ホテルの最上階にある展望風呂,ホテルの最上階にある展望ふろ,14,2
126,kooriyamamadeikukurumanonakakara,郡山まで行く車の中から,郡山まで行く車の中から,11,0
127,sakinikaettaowabiwoshiteokoutoomotte,先に?ったお?びをしておこうと思って,先に?ったお?びをしておこうとおもって,18,2
128,sokodesaijoukainotenboufuronokotowo,そこで最上階の展望風呂の事を,そこで最上階の点亡父ろのことを,14,6
129,ohadagatsurutsuruninarukara,お肌がツルツルになるから,お肌がツルツルになるから,12,0
130,kyouryokusurukarananidemoittene,協力するから何でも言ってね,協力するからなにでも行ってね,13,3
131,darekagakattenijibun'nokeitaiwotsukatte,誰かが勝手に自分の携?を使って,誰かが勝手に自分の携?を使って,15,0
132,shinhan'ningamitsukaranaimademo,?犯人が見つからないまでも,?犯人が見つからないまでも,13,0
133,dehahikokujinhasekinimodottekudasai,では被告人は席に?ってください,では日?人は席にもどってください,15,4
134,seppakuryuuzan'nokikengaattasoudesuga,切迫流産の危?があったそうですが,切迫流産おきけんがあったそうですが,16,4
135,suunichinyuuinsurebashinpainaisoudesu,?日入院すれば心配ないそうです,?日入院すればしんぱいないそうです,15,4
136,jaasaibanhaizuresaikaisaremasune,じゃあ裁判はいずれ再開されますね,じゃあ裁判はいずれ再開されますね,16,0
137,sorenishitemozendaimimon'ne,それにしても前代未聞ね,それにしても前代未聞え,11,1
138,mutsumidoushiteoshietekurenakattandarou,睦美どうして?えてくれなかったんだろう,むつみどうして?えてくれなかったんだろう,19,3
139,kantokugauramarerunantenaitoomou,監督が恨まれるなんてないと思う,監督が恨まれるなんてないと思う,15,0
140,kibishiikedoomoiyarinoaruhitodakara,?しいけど思いやりのある人だから,?しいけど思いやりのある人だから,16,0
141,jouren'niuttayounakigashimasune,常連に?ったような?がしますね,常連に打ったような?がしますね,15,1
142,jayamaokasangasatsugaisaretajikokuni,じゃ山岡さんが殺害された時刻に,じゃ山岡さんが殺害されたじこくに,15,3
143,raunjideanatatoisshoniitanoha,ラウンジであなたと一?にいたのは,ラウンジであなたと一?にいたのは,16,0
144,arigatougozaimashita,ありがとうございました,ありがとうございました,11,0
145,nanikamutsumichan'nifurininarukotowo,何か睦美ちゃんに不利になる事を,何かむつみちゃんいふりになることを,15,8
146,tsugeguchisurumitaidehanashinikukutene,告げ口するみたいで話しにくくてね,告げ口するみたいで話しにくくてね,16,0
147,kouchishonimodosaretasouyo,拘置所に?されたそうよ,拘置所に?されたそうよ,11,0
148,iroirokiitemawattandesukedo,色?訊いて回ったんですけど,色?聞いて回ったんですけど,13,1
149,anonichisakinitoukyounikaettemasu,あの日先に東京に?ってます,あの日先に東京に?ってます,13,0
150,kayamapurodexyu-sa-gashougenshitemasu,香山プロデュ?サ?が?言してます,加山プロデュ?サ?が?言してます,16,1
151,inta-nettowotsuujitetoukousurundesu,インタ?ネットを通じて投稿するんです,インタ?ネットを通じて投稿するんです,18,0
152,konodougagatoukousaretanoga,この動?が投稿されたのが,この動?が投稿されたのが,12,0
153,tsumarijiken'yokujitsunoasadesu,つまり事件翌日の朝です,つまり事件翌日のあさです,11,2
154,yapparisatsueisaretanoha,やっぱり撮影されたのは,やっぱり撮影されたのは,11,0
155,boushitomasukunootokoitajanaidesuka,帽子とマスクの男いたじゃないですか,帽子とマスクの男いたじゃないですか,17,0
156,anoshoutaigawakattandesu,あの正?がわかったんです,あの正?がわかったんです,12,0
157,aiteyakuwotsutomerusutouken'ichisankara,相手役を務める須藤健一さんから,相手役を勤める須藤けにちさんから,15,4
158,houfuwoukagaitaitoomoimasu,抱負を伺いたいと思います,豊富を伺いたいと思います,12,2
159,fan'nohitohatachiirikinshidesuyo,ファンの人は立ち入り禁止ですよ,ファンの人は立入禁止ですよ,15,2
160,juunanseigaaruttekotojanaidesuka,柔軟性があるって事じゃないですか,じゅうなん性があるってことじゃないですか,16,7
161,kurumamadenoseteitadaite,車まで?せていただいて,車までのせていただいて,11,1
162,sorehaaribaidemonanidemonaizo,それはアリバイでも何でもないぞ,それはアリバイでも何でもないぞ,15,0
163,sekkakuyasashikushiteagetanoni,せっかく優しくしてあげたのに,せっかく優しくしてあげたのに,14,0
164,senseikonoheyananikaatsukunaidesuka,先生この部屋何か暑くないですか,先生この部屋何か暑くないですか,15,0
165,rimokondokoicchattandarou,リモコンどこいっちゃったんだろう,りも今度こいっちゃったんだろう,16,5
166,zuttokikasetemorattattewakeda,ずっと聞かせてもらったってわけだ,ずっと聞かせてもらったってわけだ,16,0
167,otegaratoiitaitokorodagana,お手柄と言いたいところだがな,お手柄と言いたいところだがな,14,0
168,koregayamamurayoukonosaibou,これが山村ヨウコの細胞,これが山村ようこの際ぼう,11,6
169,arenaratokkunikaisekishoriwooeta,あれならとっくに解析?理を終えた,あれならとっくに解析?理をおえた,16,1
170,orenohoudemoshirabetemitainda,俺のほうでも調べてみたいんだ,俺の方でも調べてみたいんだ,14,2
171,kunrenwouketachouhon'nindesura,訓練を受けた張本人ですら,訓練を受けた張本人ですら,12,0
172,taekirerumonohaimasen,耐え切れる者はいません,耐えきれるものは居ません,11,4
173,isshonigohantaberutokoronano,一?にご飯食べるところなの,一?にご飯食べるところなの,13,0
174,kon'natazunekatashikadekinakute,こんな訪ね方しか出?なくて,こんな尋ねか確かできなくて,13,5
175,aruyatsunonamaetojuushowo,あるヤツの名前と住所を,あるやつの名前と住所を,11,2
176,soshitarahontounisoitsugashinde,そしたら本?にそいつが死んで,そしたら本?にそいつが死んで,14,0
177,yatsuraniyarareppanashida,やつらにやられっぱなしだ,奴らにやられっぱなしだ,12,2
178,imasukoshiyasumaseterundesu,いま少し休ませてるんです,今少し休ませてるんです,12,2
179,saikaisarerukotohenokyoufuwoidakimasu,再開されることへの恐怖を抱きます,再開されることへのきょうふをいだきます,16,6
180,mamonakukanojohaochimasu,間もなく彼女は落ちます,間もなく彼女は落ちます,11,0
181,shikkarioboetehoshindakedo,しっかり?えてほしんだけど,しっかり?えて欲しんだけど,13,1
182,chichioyanokotowoaitsunishiraseruna,父親のことをあいつに知らせるな,父親のことをあいつに知らせるな,15,0
183,zenzen'ochine-janaika,全然落ちね?じゃないか,全然落ちね?じゃないか,11,0
184,yosouijouninebatteimasu,予想以上に粘っています,予想以上に粘っています,11,0
185,dattaramottoreberuwoagero,だったらもっとレベルを上げろ,だったらもっとレベルを上げろ,14,0
186,shindeshimattaranidototegakari,死んでしまったら二度と手がかり,死んでしまったら二度と手掛かり,15,1
187,kakawaraserukotohahontounisaketaindaga,?わらせることは本?に避けたいんだが,?わらせる事は本?にさ桁いんだが,18,5
188,aitsurawotsukamaeruchansunandaro,あいつらを捕まえるチャンスなんだろ,あいつらを捕まえるチャンスなんだろ,17,0
189,terorisutokakuhonosaininanikaattatokiha,テロリスト確保の際に何かあった時は,テロリスト確保のさいになにかあったときは,17,6
190,kuniwomamorukotogasaiyuusenda,?を守ることが最優先だ,?を守る事が最優先だ,11,2
191,demochottogenkidetekimashita,でもちょっと元?出てきました,でもちょっと元?出てきました,14,0
192,sonohitoniawaseteageru,その人に?わせてあげる,その人に合わせてあげる,11,1
193,son'namonsakkinoaoikurumawo,そんなもんさっきの?い車を,そんなもんさっきの?い車を,13,0
194,tsukamaetemirebawakarundayo,捕まえてみればわかるんだよ,捕まえてみればわかるんだよ,13,0
195,mousukoshidetaisetsunashouninwo,もう少しで大切な?人を,もう少しで大切な承認を,11,2
196,shoushougouin'natokorogaarimashite,少??引なところがありまして,少??引あところがありまして,14,1
197,nanikaijittenaitoochitsukanakute,何かいじってないと落ち着かなくて,何かいじってないと落ち着かなくて,16,0
198,jidoushahanbaikaishanitsutomeru,自動車販??社に勤める,自動車販??社につとめる,11,2
199,genbaniarasottakeisekiganakattakotokara,現場に?った形跡がなかったことから,現場に?った形跡がなかったことから,17,0
200,zuibunhenpinatokorodana,ずいぶん?鄙なところだな,?分返品ところだな,12,7
201,uirusuwokakushiteirundakara,ウイルスを?しているんだから,ウイルスを?しているんだから,14,0
202,nakamawohikitsuretemodottekurukamoyo,仲間を引き連れて?ってくるかもよ,仲間を引き連れて?ってくるかもよ,16,0
203,hetanashinrisenshikakeyagatte,下手な心理?仕掛けやがって,下手な心理?しか花野がって,13,4
204,oretachininanimodekinakusaseru,俺たちに何も出?なくさせる,俺たちに何も出?なくさせる,13,0
205,imanotokoromiataranai,今のところ見?たらない,今のところ見?たらない,11,0
206,son'namonsakkinoaoikuruma,そんなもんさっきの?い車,そんなもんさっきの?い車,12,0
207,oremohayakukidukubekidatta,俺も早く?づくべきだった,俺も早く?づくべきだった,12,0
208,antagahan'nindattewakaruyouninatteimasu,あんたが犯人だってわかるようになっています,あんたが犯人だってわかるようになっています,21,0
209,iiwakehahonbudeyukkurishiro,言い?は本部でゆっくりしろ,言い?は本部でゆっくりしろ,13,0
210,anatahawatashitachigaiukotowo,あなたは私たちが言うことを,貴方は私たちが言うことを,13,3
211,hi-ro-gahan'nin'nosenakani,ヒ?ロ?が犯人の背中に,ヒ?ロ?が犯人の背中に,11,0
212,korekarahausodatteomoinasai,これからは?だって思いなさい,これからは?だって思いなさい,14,0
213,sorejaasaigonimouhitotsutanomu,それじゃあ最後にもうひとつ?む,それじゃあ最後にもう一つ?む,15,2
214,joukuukaragenbanokakuteihadekimasen,上空から現場の?定はできません,上空から原盤かくていはできません,15,6
215,sonogonojoukyouhoukokuonegaishimasu,その後の?況報告お願いします,その後の?況報告お願いします,14,0
216,otagaiganbatteikiteikimashoune,お互い頑張って生きていきましょうね,お互い頑張って生きていきましょうね,17,0
217,houkokugaokuretesumimasen,報告が送れてすみません,報告が?れてすみません,11,1
218,juuwoubawareutaremashita,銃を奪われ?たれました,銃を奪われ打たれました,11,1
219,jibun'noshoutaigabaretanoka,自分の正?がバレたのか,自分の正?がバレたのか,11,0
220,konomamanonagaredekekkouda,このままの流れで決行だ,このままの流れで結構だ,11,2
221,takagikunkaniinakattandakedo,高木君家にいなかったんだけど,高木くん家にいなかったんだけど,14,2
222,kochiranohoutomokakuninshitemimasu,こちらの方とも確認してみます,こちらの方とも確認してみます,14,0
223,harukachankonbyouin'nandesukedo,?ちゃん今病院なんですけど,はるかちゃんこん病院なんですけど,13,5
224,oniisan'nokotosugokushinpaishiteite,お兄さんのことすごく心配していて,お兄さんのことすごく心配していて,16,0
225,achikochiniookiiho-suga,あちこちに大きいホ?スが,あちこちに大きいホ?スが,12,0
226,imasugukuuchouwozenbutomete,今すぐ空調を全部止めて,今すぐ空調を全部とめて,11,1
227,kansenshitatokimattawakejanaidarou,感染したと決まったわけじゃないだろう,感染したと決まったわけじゃないだろう,18,0
228,taiterowosenmontoshiteirusoshikida,?テロを?門としている組織だ,たいテロを?門としているそしきだ,14,5
229,kenkyuushitsunimodorukihaarimasen,?究室に?る?はありません,?究室に?る?はありません,13,0
230,yapparikuwaretanohahoushou,やっぱり食われたのは?生,やっぱり食われたのは鳳翔,12,2
231,warewarehenowirusuterohashippaida,我?へのウィルステロは失敗だ,我?へのウィルスてろはしっぱいだ,14,6
232,zen'inkorosutsumoridattano,全員殺すつもりだったの,全員殺すつもりだったの,11,0
233,sugunishutsudounoyouseiwosuru,すぐに出動の要請をする,すぐに出動の妖精をする,11,2
234,atarebakouatsudenryuuganagarete,?たれば高?電流が流れて,?たれば高?電流がながれて,12,2
235,doushitarakonokuniwosukuerunoka,どうしたらこの?を救えるのか,どうしたらこの?を救えるのか,14,0
236,orenihatadazuttogawaniitehoshii,俺にはただずっと側にいてほしい,俺にはただずっと側にいてほしい,15,0
237,korewotodokenikitekuretano,これを?けにきてくれたの,これを?けに?てくれたの,12,1
238,anataniaitaitteitterunoyo,あなたに?いたいって言ってるのよ,あなたに?いたいって言ってるのよ,16,0
239,demokoredetsuisekihafukanouyo,でもこれで追跡は不可能よ,でもこれで追跡は不可能よ,12,0
240,aikawarazukimochiiihodojibunhon'i,相?わらず?持ちいいほど自分本位,相?わらず?持ちいいほど自分本位,16,0
241,kagakusousanadonosenmontekisousade,科??査などの?門的?査で,化?操作などの?門てきそうさで,13,8
242,kyouakuhanzainitaioushiteikuchimudesu,凶?犯罪に??していくチムです,凶?はん座員たいおうしていくちむです,15,10
243,anoon'natodoukidasoudesu,あの女と同期だそうです,あの女と同期だそうです,11,0
244,soreniatarashiibushonoshippaiha,それに新しい部署の失敗は,それに新しい部ションしっぱいは,12,7
245,dokonobushokaramoiranaiseieitachiga,どこの部署からもいらない精?たちが,どこの部署からもいらないせいえいたちが,17,4
246,yougishajaarimasen'yo,容疑者じゃありませんよ,容疑者じゃありませんよ,11,0
247,bouryokujikenwookoshitemashitene,暴力事件を起こしてましてね,暴力事件を起こしてましてね,13,0
248,douzoyoroshikuonegaishimasu,どうぞよろしくお願いします,どうぞよろしくお願いします,13,0
249,kon'nabushoyarukotonaidesho,こんな部署やることないでしょ,こんな部署やることないでしょ,14,0
250,mimotofumeinoshoushitaigahakkensareta,身元不明の?死?が?見された,身元不明の?死?がはっけんされた,14,4
251,jouhanshingamarukogedattayoudesu,上半身が丸焦げだったようです,上半身がまる焦げだったようです,14,2
252,atokataudegaoreteitatoka,あと片腕が折れていたとか,あと片腕が俺ていたとか,12,2
253,watashikeijijanaidesukara,わたし刑事じゃないですから,私刑事じゃないですから,13,3
254,keisatsutoiedomoneidouhaaruno,警察といえどもね異動はあるの,警察といえどもね移動はあるの,14,1
255,watashiningen'nikyouminainde,わたし人間に興味ないんで,私人間に興味ないんで,12,3
256,katagirisan'nihaoniaidesune,片桐さんにはお似合いですね,片桐さんにはお似合いですね,13,0
257,soutoutebirokuyatteitayoude,相?手?くやっていたようで,相?手?くやっていたようで,13,0
258,tankashitanaizougafunsaishiteta,炭化した??が粉?してた,たんかした??がふんさいしてた,12,7
259,chakuninhayadeharikitten'nohawakaruga,着任早で張り切ってんのは分かるが,着任はやで張り切ってんおはわかるが,16,4
260,tettouninoborasetakanouseiga,?塔に登らせた可能性が,?塔に上らせたかのうせいが,11,6
261,jaakonochakushinrirekishirabereba,じゃあこの着信履?調べれば,じゃあこの着心理れきしらべれば,13,6
262,sorekaratsuidenigenbade,それからついでに現場で,それからついでに現場で,11,0
263,sorenison'nayakuhin'nante,それにそんな?品なんて,それにそんな?品なんて,11,0
264,kindokokatogappeisurutoka,近どこかと合?するとか,キンどこかと合?するとか,11,2
265,gyoukaiootenoguroriasuyakuhinto,業界大手のグロリアス?品と,業界大手のグロリアスやくひんと,13,4
266,mataterebidehoudousarerutoomoimasu,またテレビで報道されると思います,またテレビで報道されると思います,16,0
267,shoushinarasouhaikanaiwa,?死ならそうはいかないわ,?しならそうはいかないわ,12,2
268,watashigakonomedekakuninshiteru,わたしがこの目で確認してる,私がこの目で確認してる,13,3
269,shijiwouketeitakotogawakatteru,指示を受けていたことが分かってる,指示を受けていた事がわかってる,16,3
270,masatsudebakuhatsusuruyouninatteita,摩擦で爆?するようになっていた,摩擦で爆?するようになっていた,15,0
271,tsumariichidokitaranugukotonodekinai,つまり一度着たら?ぐことのできない,つまり一度きたらんぐことのできない,17,2
272,ichiban'iyanakotosasetawakeka,一番いやなことさせたわけか,一番嫌なことさせたわけか,13,2
