NUM,EXPECTED,model_epoch_04_gs_30730_beam_width_1,# characters,edit distance
65,両手を上げて手のひらを上にして,両手を上げて手のひらを上にして,15,0
66,デートに行けるとなったら,デUトに行けるとなったら,12,1
67,そんなことないですって,そんなことないですって,11,0
68,今できること頑張るって決めたんだ,今できることがんばるって決めたんだ,16,3
69,原因不明の神経変性疾患,原因不明の新経変性率感,11,3
70,じゃあ結局今日の池内との,ジャア結局協の行け打ちとの,12,9
71,どうしようかと思ってさ,どうしようかと思ってさ,11,0
72,せっかくの誕生日の日に,せっかくの誕生日の日に,11,0
73,さっき病院に電話きてた,昨季病院に電話来てた,11,4
74,メスは餌を探しに出るんだけど,メスはエサを探しに出るんだけど,14,2
75,その間どんなに腹減っても,その感どんなに腹減っても,12,1
76,ずっと卵守って待ってんだよ,ずっと卵も持ってまってんだよ,13,3
77,本当は先輩は来ないかもって思ってた,本当は先輩はこないかもって思ってた,17,1
78,何言ってるか分かんなくなっちゃうんだって,何言ってるか分感なくなっちゃうんだって,20,2
79,最後には寝たきりになって,最後には寝たきりになって,12,0
80,その人物は派手なパンクファッションに,その人物ははでなパンクファッションに,18,2
81,身を包んでいたそうですが,身をつつんでいたそうですが,12,2
82,まさにあんな感じでした,まさに案な感じでした,11,2
83,記憶には自信があるんです,記憶には自信があるんです,12,0
84,先ほどあなたが見たのは,先ほどあなたが見たのは,11,0
85,さっき記憶には自信があると,さっきき憶には自信があると,13,1
86,自信がなくなってきました,自信が亡くなってきました,12,1
87,でも見てみたかったわね,でも見てみたかったわね,11,0
88,いろいろ教えてくださいね,いろいろ教えてくださいね,12,0
89,事務所の経営に貢献してくださいね,事務所の経営に貢献してくださいね,16,0
90,それはいいじゃないですか,それはいいじゃないですか,12,0
91,協力したのは私たちです,協力したのは私たちです,11,0
92,私も協力をお願いされたら,私も協力をお願いされたら,12,0
93,カツラぐらいは被りましたよ,かつらぐらいはこう漏りましたよ,13,6
94,私もちょっとは協力しました,私もちょっとは協力しました,13,0
95,こういう時はじゃんけんでしょ,こういうときはジャンケンでしょ,14,7
96,宮田さんじゃんけんに勝てて,宮田さんじゃん件に書てて,13,3
97,思いっきりのんびりしちゃいましょ,思いっきり女びりしちゃいましょ,16,2
98,とりあえずお風呂入りましょうね,とりあえずお風呂入りましょうね,15,0
99,恐ろしい殺人事件が起きる事など,恐ろしい殺人事件が起きることなど,15,2
100,のんびりしようって言いましたよね,のんびりしようっていいましたよね,16,1
101,プロデューサーの仕事でしょ,プロデュUサUの仕事でしょ,13,2
102,撮り方の工夫で何とかするから,取り方の駆夫でなんとかするから,14,4
103,あさすが大女優って感じ,朝すが大女優って感じ,11,2
104,高校の時の友人なんです,高校の時の友人なんです,11,0
105,私たちここに泊まってるの,私たちここにとまってるの,12,1
106,まだ駆け出しみたいですけど,まだかけ出しみたいですけど,13,1
107,お肌ツルツルになるんですって,お肌くるつるになるんですって,14,4
108,いろいろと苦労したんだね,いろいろと苦労したんだね,12,0
109,私は今回だけなんだけどね,私は今回だけなんだけどね,12,0
110,真理江さんは体調が悪いみたいで,マリエさんは体長が悪いみたいで,15,4
111,何かちょっと怖そうな人ね,何かちょっと怖そうな人ね,12,0
112,ホントはいい人なんだよ,ホントはいい人なんだよ,11,0
113,朝から監督の姿が見当たらなくて,朝から監督の姿が見当たらなくて,15,0
114,スケジュールも狂っちゃって,スケジュUルもクルっちゃって,13,3
115,私そんなメール出してません,私そんなメUル出してません,13,1
116,送信記録が残ってますよ,そう新記録が残ってますよ,11,3
117,温泉で殺人事件と遭遇したの,温泉で冊人事件と総遇したの,13,2
118,写真だけでわかるわけないだろ,写真だけでわかるわけないだろ,14,0
119,山岡監督と田代睦美の間には,山岡監督と確ろ無積の間には,13,4
120,という憶測が飛び交っている,という億束が飛びかっている,13,3
121,マスコミで話題になっている事件だけに,マスコミで話題になっている事件だけに,18,0
122,勝訴すれば事務所の名前が上がりますね,詳そすれば事務所の名前が上がりますね,18,2
123,あなたがそこまで言うんだったら,あなたがそこまで言うんだったら,15,0
124,それは私がよく知っています,それは私がよく知っています,13,0
125,ホテルの最上階にある展望風呂,ホテルの最上階にある展望フロ,14,2
126,郡山まで行く車の中から,氷山まで行くる村の中から,11,3
127,先に帰ったお詫びをしておこうと思って,先に帰ったお詫びをしておこうと思って,18,0
128,そこで最上階の展望風呂の事を,そこで最上回の展望風呂のことを,14,3
129,お肌がツルツルになるから,お肌がつるつるになるから,12,4
130,協力するから何でも言ってね,協力するから何でも言ってね,13,0
131,誰かが勝手に自分の携帯を使って,誰かが勝手に自分の携帯を使って,15,0
132,真犯人が見つからないまでも,新半人が見つからないまでも,13,2
133,では被告人は席に戻ってください,では被告人は席に戻って下さい,15,2
134,切迫流産の危険があったそうですが,拙迫流産の危険があったそうですが,16,1
135,数日入院すれば心配ないそうです,数日入院すれば心配ないそうです,15,0
136,じゃあ裁判はいずれ再開されますね,じゃ朝晩はいずれ再開されますね,16,3
137,それにしても前代未聞ね,それにしても前台意門船,11,4
138,睦美どうして教えてくれなかったんだろう,無積どうして教えてくれなかったんだろう,19,2
139,監督が恨まれるなんてないと思う,監督が裏まれるなんてないと思う,15,1
140,厳しいけど思いやりのある人だから,厳しいけど思いやりのある人だから,16,0
141,常連に売ったような気がしますね,常連に行ったような気がしますね,15,1
142,じゃ山岡さんが殺害された時刻に,ジャ山岡さんが冊外された事告に,15,6
143,ラウンジであなたと一緒にいたのは,ラウンジであなたと一緒にいたのは,16,0
144,ありがとうございました,ありがとうございました,11,0
145,何か睦美ちゃんに不利になる事を,何かむつみちゃんに振りになることを,15,7
146,告げ口するみたいで話しにくくてね,つげぐ知するみたいで話しにくくてね,16,3
147,拘置所に戻されたそうよ,高知所に戻されたそうよ,11,2
148,色々訊いて回ったんですけど,いろいろきいて回ったんですけど,13,5
149,あの日先に東京に帰ってます,あの日先に東京に帰ってます,13,0
150,香山プロデューサーが証言してます,鹿山プロデュUサUが正限してます,16,5
151,インターネットを通じて投稿するんです,インタUネットを通じて投稿するんです,18,1
152,この動画が投稿されたのが,この動画が投稿されたのが,12,0
153,つまり事件翌日の朝です,つまり事件翌日の朝です,11,0
154,やっぱり撮影されたのは,やっぱり撮影されたのは,11,0
155,帽子とマスクの男いたじゃないですか,防子とマスクの男いたじゃないですか,17,1
156,あの正体がわかったんです,あの商体がわかったんです,12,1
157,相手役を務める須藤健一さんから,相手約を務めるス当権一さんから,15,4
158,抱負を伺いたいと思います,豊富をうかがいたいと思います,12,5
159,ファンの人は立ち入り禁止ですよ,ファンの人は立ち入り金しですよ,15,2
160,柔軟性があるって事じゃないですか,柔軟性があるってことじゃないですか,16,2
161,車まで乗せていただいて,車までのせていただいて,11,1
162,それはアリバイでも何でもないぞ,それはありバイデモなにでもないぞ,15,6
163,せっかく優しくしてあげたのに,せっかくやさしくしてあげたのに,14,2
164,先生この部屋何か暑くないですか,先制この部屋なにか暑くないですか,15,3
165,リモコンどこいっちゃったんだろう,リモコンドコイッっちゃんだだろう,16,7
166,ずっと聞かせてもらったってわけだ,ずっと聞かせてもらったってわけだ,16,0
167,お手柄と言いたいところだがな,お手がらと言いたいところだがな,14,2
168,これが山村ヨウコの細胞,これが山村容子の栽望,11,5
169,あれならとっくに解析処理を終えた,アレならトックに解析処理を終えた,16,5
170,俺のほうでも調べてみたいんだ,オレの方でも調べてみたいんだ,14,4
171,訓練を受けた張本人ですら,訓練を受けた長本人ですら,12,1
172,耐え切れる者はいません,声切れるものはいません,11,4
173,一緒にご飯食べるところなの,一緒にごはんたべるところなの,13,3
174,こんな訪ね方しか出来なくて,こんな尋ね方しかできなくて,13,3
175,あるヤツの名前と住所を,あるやつの名前と重書を,11,4
176,そしたら本当にそいつが死んで,そしたら本当にそいつが新で,14,2
177,やつらにやられっぱなしだ,やつらにやられっぱなしだ,12,0
178,いま少し休ませてるんです,いますこし休ませてるんです,12,2
179,再開されることへの恐怖を抱きます,再開されることへの強怖を抱きます,16,1
180,間もなく彼女は落ちます,まもなく彼女は落ちます,11,1
181,しっかり覚えてほしんだけど,しっかり覚えてほろんだけど,13,1
182,父親のことをあいつに知らせるな,父親のことを愛つに知らせるな,15,2
183,全然落ちねーじゃないか,全然落ちネUジャないか,11,4
184,予想以上に粘っています,予想以上に粘っています,11,0
185,だったらもっとレベルを上げろ,だったらもっとレベルを上げろ,14,0
186,死んでしまったら二度と手がかり,新でしまったらにどと手がかり,15,4
187,関わらせることは本当に避けたいんだが,かからせることは本当に避けたインダが,18,5
188,あいつらを捕まえるチャンスなんだろ,愛塚を使まえるチャンスなんだろ,17,5
189,テロリスト確保の際に何かあった時は,テロリスト角保の際に何かあったときは,17,3
190,国を守ることが最優先だ,国を守ることが最優戦だ,11,1
191,でもちょっと元気出てきました,でもちょっと元気でてきました,14,1
192,その人に会わせてあげる,その人に合わせてあげる,11,1
193,そんなもんさっきの青い車を,そんな文作機の青いクルマを,13,8
194,捕まえてみればわかるんだよ,使まえてみればわかるんだよ,13,1
195,もう少しで大切な証人を,もう少しで大切な商任を,11,2
196,少々強引なところがありまして,少々合いんんなところがありまして,14,4
197,何かいじってないと落ち着かなくて,何かいじってないと落ちつかなくて,16,1
198,自動車販売会社に勤める,自動車販売会社に努める,11,1
199,現場に争った形跡がなかったことから,現場にあら訴っ系析がなかったことから,17,6
200,ずいぶん辺鄙なところだな,ずい分編費なところだな,12,4
201,ウイルスを隠しているんだから,ウイルスを隠しているんだから,14,0
202,仲間を引き連れて戻ってくるかもよ,中間を引き連れて戻ってくるかもよ,16,1
203,下手な心理戦仕掛けやがって,ヘタナ新利選しかけやがって,13,8
204,俺たちに何も出来なくさせる,オレたちに何もできなくさせる,13,4
205,今のところ見当たらない,今のところ見あたらない,11,1
206,そんなもんさっきの青い車,そんな文作機のおおいるす,12,9
207,俺も早く気づくべきだった,オレも早く気づくべきだった,12,2
208,あんたが犯人だってわかるようになっています,アンタが犯人だってわかるようになっています,21,3
209,言い訳は本部でゆっくりしろ,言い分けは本部でゆっくり白,13,4
210,あなたは私たちが言うことを,あなたは私たちがいうことを,13,1
211,ヒーローが犯人の背中に,ヒUロUが犯人の背中に,11,2
212,これからは嘘だって思いなさい,これからは嘘だって思いなさい,14,0
213,それじゃあ最後にもうひとつ頼む,それじゃあ最後にもう一つたの無,15,5
214,上空から現場の画定はできません,上空から現場の確定はできません,15,1
215,その後の状況報告お願いします,その後の状況報告お願いします,14,0
216,お互い頑張って生きていきましょうね,お互い頑張っていきていきましょうね,17,1
217,報告が送れてすみません,報告が遅れてすみません,11,1
218,銃を奪われ撃たれました,重を奪われうたれました,11,2
219,自分の正体がバレたのか,自分の商待がバレたのか,11,2
220,このままの流れで決行だ,このままの流れで結構だ,11,2
221,高木君家にいなかったんだけど,高議くんかにいなかったんだけど,14,4
222,こちらの方とも確認してみます,こちらの方とも確認してみます,14,0
223,遥ちゃん今病院なんですけど,春かちゃんコン病院なんですけど,13,4
224,お兄さんのことすごく心配していて,おにいさんのことすごく心配していて,16,2
225,あちこちに大きいホースが,あちこちに大きいホUスが,12,1
226,今すぐ空調を全部止めて,今すぐ空長を全部止めて,11,1
227,感染したと決まったわけじゃないだろう,感染したと決まったわけじゃないだろう,18,0
228,対テロを専門としている組織だ,タイテロを専門としているそしきだ,14,5
229,研究室に戻る気はありません,研究室に戻る気はありません,13,0
230,やっぱり食われたのは宝生,やっぱり加れたのは放証,12,4
231,我々へのウィルステロは失敗だ,われわれへのウルステロは失敗だ,14,5
232,全員殺すつもりだったの,全員ころすつもりだったの,11,2
233,すぐに出動の要請をする,すぐに出動の要請をする,11,0
234,当たれば高圧電流が流れて,あたれば高熱電流が流れて,12,2
235,どうしたらこの国を救えるのか,どうしたらこの国をスクエルのか,14,4
236,俺にはただずっと側にいてほしい,オレにはただずっと側にいて欲しい,15,3
237,これを届けにきてくれたの,これを届けに来てくれたの,12,1
238,あなたに会いたいって言ってるのよ,あなたに合いたいって言ってるのよ,16,1
239,でもこれで追跡は不可能よ,でもこれで追加席は不可能よ,12,2
240,相変わらず気持ちいいほど自分本位,相変わらず気持ちいいほど自分本位,16,0
241,科学捜査などの専門的捜査で,加学捜査などの専門的操作で,13,3
242,凶悪犯罪に対応していくチムです,共悪犯罪に対応していくちむです,15,3
243,あの女と同期だそうです,あの女と同期だそうです,11,0
244,それに新しい部署の失敗は,それに新しい部所の失敗は,12,1
245,どこの部署からもいらない精鋭たちが,どこの部所からもいらない声えイタ違,17,6
246,容疑者じゃありませんよ,容疑者ジャアリマ専与,11,8
247,暴力事件を起こしてましてね,暴力事件を起こしてましてね,13,0
248,どうぞよろしくお願いします,どうぞよろしくお願いします,13,0
249,こんな部署やることないでしょ,こんな部所やることないでしょ,14,1
250,身元不明の焼死体が発見された,見元不明の賞したいが発見された,14,5
251,上半身が丸焦げだったようです,上阪神がマルコゲだったようです,14,6
252,あと片腕が折れていたとか,あとかたうでがオレていたとか,12,6
253,わたし刑事じゃないですから,私形次じゃないですから,13,5
254,警察といえどもね異動はあるの,警察といえどもねい同はあるの,14,2
255,わたし人間に興味ないんで,私人がんに興味ないんで,12,5
256,片桐さんにはお似合いですね,型切りさんにはおにアイデスね,13,8
257,相当手広くやっていたようで,相当て引くやっていたようで,13,2
258,炭化した内臓が粉砕してた,単化した内蔵が踏ん最してた,12,5
259,着任早で張り切ってんのは分かるが,着人はやでは利きってんのハワカルが,16,10
260,鉄塔に登らせた可能性が,手倒に伸ぼせた可能性が,11,4
261,じゃあこの着信履歴調べれば,ジャアコの着信理歴調べれば,13,5
262,それからついでに現場で,それからついでに現場で,11,0
263,それにそんな薬品なんて,それにそんな役品なんて,11,1
264,近どこかと合併するとか,金どこかとが解催するとか,11,4
265,業界大手のグロリアス薬品と,業界大手のグロリアス約品と,13,1
266,またテレビで報道されると思います,またテレビで報道されると思います,16,0
267,焼死ならそうはいかないわ,少しならそうはいかないわ,12,2
268,わたしがこの目で確認してる,私がこの目で確認してる,13,3
269,指示を受けていたことが分かってる,支持を受けていたことがわかってる,16,3
270,摩擦で爆発するようになっていた,まさつで爆発するようになっていた,15,3
271,つまり一度着たら脱ぐことのできない,つまり一度きたらぬ具ことのできない,17,3
272,一番いやなことさせたわけか,一番いやなことさせたわけか,13,0
273,あまり評判のよくない銀行です,あまり評判のよくない銀行です,14,0
274,次の犯行もすぐに起こるわ,次の犯行もすぐに起こるわ,12,0
275,改造したスタンガンが見つかった,改像したスタンガンが見つかった,15,1
276,セットされてる可能性が極めて高い,セットされてる可能性が極めて高い,16,0
277,そういうことだ遊んでる暇はない,そういうことダアソンデルひまはない,15,8
278,やはり爆弾はセットされてるな,やはり爆弾はセットされてるな,14,0
279,時間なんて気にする必要ない,時間なんて気にする必要ない,13,0
280,かなり精密にやらないと,かなり正密にやらないと,11,1
281,ほんのわずか多めにする,ほんのわずかおおめにする,11,2
282,それも何度かやってみないと分からない,それも何度かやってみないとわからない,18,1
283,戸倉さんにお聞きしました,と暮らさんにお聞きしました,12,3
284,何から何まで教えていただきました,何から何まで教えていただきました,16,0
285,嘘は絶対に言ってはならない,うそは絶対に行ってはならない,13,3
286,今爆弾処理班が向かっています,コンバク段処理反画向かっています,14,7
287,もう少し待てばよかったんだよ,もう少しまてばよかったんだよ,14,1
288,言わせるために作ったんだって,岩瀬種目に作ったんだって,14,6
289,それはわたしが優秀だからです,それは私が優秀だからです,14,3
290,ここは誰も教えてくれないからな,ここは誰も教えてくれないからな,15,0
291,あののっぽと付き合ってる男,あののっぽとつきあってる男,13,2
292,現実的にはそうかもしれない,現実的にはそうかもしれない,13,0
293,でも撃てなきゃ刑事じゃない,でもうてなきゃ計示じゃない,13,3
294,お前のこと色々噂になってるぞ,お前のこといろいろうわさになってるぞ,14,7
295,さっき台東区で女子大生が,作期帯答くで女子第生が,12,7
296,共に地取り鑑取りを行っていますが,とも日取り感取りを行っていますが,16,4
297,問題はこのインターネットの掲示板,問題はこのインタUネットの掲示版,16,2
298,また一人処刑してやった,また一人書計してやった,11,2
299,一人目の処刑者よしおかひとみ,一人目の初刑者よしおか人み,14,3
300,殺人犯を英雄視してるんだ,殺人半を英優視してるんだ,12,2
301,書き込みの情報によると,書き込みの情報によると,11,0
302,巨大なダガーナイフを持ち,巨大なだガUナイフを持ち,12,2
303,そのマークを現場にも残す,そのマUクを現場にも残す,12,1
304,総合するとこんな感じです,総合するとこんな感じです,12,0
305,インターネットのデマじゃない,インタUネットので魔じゃない,14,3
306,共に頑張ろうぜおっさん,ともに頑張ろうぜおさん,11,3
307,ちょっと調べてほしいことがあるんです,ちょっと調べて欲しいことがあるんです,18,1
308,大事件に発展するかもしれないんです,大事件に発展するかもしれないんです,17,0
309,吉岡さんはお酒を飲んだ,よしおかさんはお酒を飲んだ,11,4
310,ベッドの脇に落ちたことによる,ベッドの脇に落ちたことによる,14,0
311,現場にばってんマークとか,現場にバッテンマUクとか,12,5
312,そんなやつおるわけないやろ,そんなやつおるわけないやろ,13,0
313,全てフリースペースに置いてある,すべてフリUスペUスにおいてある,15,5
314,それぞれの所轄に連絡させて,それぞれの書活に連絡させて,13,2
315,同じ人間が書き込みしてるようです,同じ人間が書き込みしてるようです,16,0
316,このインターネットに参加している全員が,このインタUネットに参加している全員が,19,1
317,でも彼女は服の上からだった,でも彼女は福の上からだった,13,1
318,神なんて祭り上げられて,上なんてまつり上げられて,11,3
319,ぺらぺらしゃべっていたそうだな,ペラペラ社っていたそうだな,15,7
320,その口の軽さで逮捕できたよ,その口の軽さで大ほできたよ,13,2
321,逮捕されたのは都内に住む,逮捕されたのは都内に住む,12,0
322,捕まった奴は神なんかじゃない,塚まったやつはかみなんかじゃない,14,5
323,親御さんからは頑張れば,親語さんからはガンバレバ,11,6
324,傷つくこともないんだもんね,傷つくこともないんだもんね,13,0
325,だから何が言いたいんだって,だから何が言いたいんだって,13,0
326,塀の向こうに落ちた神様,平の向こうに落ちたかみさま,11,5
327,インターネットは祭りよ,インタUネットは祭りよ,11,1
328,まだ連絡の取れなかった,まだ連絡のトレなかった,11,2
329,気力があればなおさら危険ですね,気力があればなおさら危険ですね,15,0
330,インターネットの書き込みの,インタUネットの書き込みの,13,1
331,本当の怪物を生んでしまった,本当の解物を運んでしまった,13,2
332,面白がった誰かが名前を書き込む,面白がった誰かが名前を書き込む,15,0
333,その期待に応えようとするはず,その期待に答えようとするはず,14,1
334,一刻も早く逮捕しなければ,一国も早く逮捕しなければ,12,1
335,それぞれ保管室に行って,それぞれほかん質に言って,11,5
336,拳銃を携行していくように,県銃を経更していくように,12,3
337,もうちょっといい写真使いなさい,もうちょっと言い写真使いなさい,15,1
338,護衛捜査員はこれから選出する,ご映送サインはこれから選出する,14,6
339,一刻も早く発表したいらしいから,一国も早く発表したいらしいから,15,1
340,あっけない最期でしたね,悪けない最後でしたね,11,3
341,この犯人だけがインターネット上の神を,この犯人だけがインタUネット上の神を,18,1
342,つまりとっくに死んでる遺体に,つまりトックにシンデルイタイに,14,10
343,今は中がジッパーになってる,今は中がジッパUになってる,13,1
344,インターネットのオークションで買った,インタUネットのオUクションで買った,18,2
345,近くのホームレスの男性,近くのホUムレスの男性,11,1
346,また飲み会してくださいね,またのみかいしてくださいね,12,3
347,早う家帰って風呂入って,は用言え赤ってフロは言って,11,9
348,でも浩のおかげで助かった,でも広しのおかげで助かった,12,2
349,今度は朝まで付き合ってよ,今度は朝まで突き合ってよ,12,1
350,きっと人間と見てないよ,キット人ゲント見てないよ,11,6
351,大変申し訳ありませんでした,大変申し訳ありませんでした,13,0
352,同じ雑誌の読者モデルが,同じ雑誌の読者モデルが,11,0
353,まだ犯人の手掛かりはつかめていない,まだ反人の手がかりはつかめていない,17,2
354,少し離れて歩きますから,少し離れて歩きますから,11,0
355,今日はありがとうございました,今日はありがとうございました,14,0
356,ぜひまた次回も呼んでください,ぜひまた次回も呼んでください,14,0
357,ただこういったケースの場合,ただこういったケUスの場合,13,1
358,ゆっくり落ち着いてからの方が,ゆっくり落ち着いてからの方が,14,0
359,ブランドの新作発表会の帰り道,ブランドの新作発表会の返り道,14,1
360,あまりしゃべりたがらない,あまりシャベリタがらない,12,5
361,話をしたくない人もいるの,話をしたくない人もいるの,12,0
362,被害者は深く傷ついてる,被害者は不覚きずついてる,11,4
363,わたし樋口さんに嫌われたみたいです,私ひ口さんにキラ割めたみたです,17,9
364,読者モデルとはいっても,読者モデルと入っても,11,2
365,直接入っていたそうです,直接は言っていたそうです,11,2
366,覚せい剤で逮捕歴もある,各製在で逮捕歴もある,11,4
367,定時だから帰っていいわ,定時だから返っていいわ,11,1
368,刑務所から出したはがきや封筒には,経務所から出したはがきや風当には,16,3
369,事件の概要が見えてきました,事件の概要が見えてきました,13,0
370,これ樋口さんからもらったんだ,これひ口さんからもらったんだ,14,1
371,もっと色々もらってこよう,もっといろいろもらってこよう,12,4
372,たぶんどこかで手足を縛られ,タブンどこかで手足をしばられ,13,5
373,これは傷つけても構わないという,これはきずつけてもかまわないという,15,4
374,ナイフを押し付けられていた,ナイフを押しつけられていた,13,1
375,平手で殴られてるから傷も浅い,開手で殴られてるから傷も朝い,14,2
376,三上とは同じ中学の先輩後輩で,見髪とは同じ中額の先輩後敗で,14,4
377,三上の働いてるバーに呼びつけられて,見かみの働いてルバUに呼びつけられて,17,5
378,少し話が聞きたいんですが,少し話が気期待んですが,12,4
379,まあちょっとそこでお茶でも飲みながら,まあちょっとそこでお茶でも飲みながら,18,0
380,コップに付いた唾液から,コップについただえきから,11,4
381,変なことしゃべってんだったら,変なこと車別点だったら,14,6
382,犯人とみて間違いないな,犯人と見て間違いないな,11,1
383,プリンターで出力した文字です,プリンタUで出力したモジです,14,3
384,プリンターのメーカーが同じだと,プリンタUのメUカUが同じだと,15,3
385,字体では区別がつかない,自体ではく別がつかない,11,2
386,ゆかりさんの家族構成から出身地,ゆかりさんの家族構成から出身地,15,0
387,病院で会話したこと全部書いてあるんだ,病院で買わわしたこと前部書いてあるんだ,18,4
388,同じ銀行に口座作っちゃおう,同じ銀行に口座作っちゃおう,13,0
389,犯人の声とにおいを確認してもらう,犯人の声とにおいを確認してもらう,16,0
390,襲われたらどないするつもりじゃ,おそわれたらどないするつもリジャ,15,5
391,だったら樋口さんに頼むわ,だったらひ口さんに頼むわ,12,1
392,女の敵は許したくないんです,女の適はゆるしたくないんです,13,3
393,金田は毎日決まった時間に,カネダは毎日決まった時間に,12,3
394,警視庁の片桐と申しますが,警視庁の語切りと申しますが,12,3
395,だから全員やってやろうと思って,だから全員やってやろうと思って,15,0
396,家宅捜索の令状も取りました,型ク操作国例上も取りました,13,7
397,必ず証拠は出てくるはずです,必ず症庫は出てくるはずです,13,2
398,あなたはモデル仲間の佐藤さん,あなたはモデル中間の佐藤さん,14,1
399,そこでバーで知り合った三上に,そこでバUで知り合った参浄に,14,3
400,一方的にあなたに愛情を向けていた,一方的にあなたに愛情を向けていた,16,0
401,後ろから危険が訪れるとは,後ろから危険が訪れるとは,12,0
402,あなたはため息をついた,あなたはため息をついた,11,0
403,相手が目の前にいるうちは,相手が目の前にいるうちは,12,0
404,なかなか証拠が挙がらなかった,なかなか証拠が上がらなかった,14,1
405,金田を監視するためにね,カネダを完始するためにね,11,5
406,何にも見つからなかった,何にも見つからなかった,11,0
