NUM,ROMAJI,EXPECTED,GOT (M),SwiftKey 6.4.8.57 (S),FULL SCORE,M,S
52,imahakazokugaicchidanketsushite。,今は家族が一致団結して。,今は家族が一致脱結して。,今は家族が一致団結して。,12,11,12
53,gato-bonu-runoke-kida。,ガトーボヌールのケーキだ。,がとーボンルーのケキーだ。,ガトーboぬールンけーきだ。,13,6,7
54,ichiouninzuubunkattearuwayo。,一応人数分買ってあるわよ。,一応人数分かってあるわよ。,一応人数分買ってあるわよ。,13,12,13
55,asoukun'niaitakutekitanonine。,麻生君に会いたくて来たのにね。,麻生雲に空いたくて頼のにね。,麻生君に会いたくてきたのにね。,15,11,14
56,ichioukoehakaketanssukedone。,一応声はかけたんっすけどね。,一応声はかけたんっすけどね。,一応声はかけたんっすけどね。,14,14,14
57,nanikakanjigakawacchatta。,何か感じが変わっちゃった。,何かかんがかわったっちゃった。,何か感じが変わっちゃった。,13,8,13
58,kondohatsukaman'naiyounishiroyo。,今度は捕まんないようにしろよ。,今度は妻マン内容に白よ。,今度はつかまんない様にしろよ。,15,6,11
59,tochuumadeisshoniitandakedo。,途中まで一緒にいたんだけど。,途中まで一緒にいたんだけど。,途中まで一緒にいたんだけど。,14,14,14
60,tsuginonikkawatoudehakkensaretano。,次の日川島で発見されたの。,次の日課党塔で発見されたの。,次の日川等で発見されたの。,13,10,12
61,anmarishin'youshitenairashii。,あんまり信用してないらしい。,あんまり心用してないらしい。,あんまり信用してないらしい。,14,13,14
62,tomodachikitekureteyokattawane。,友達来てくれてよかったわね。,友達き来てくれてよかったわね。,友達来てくれてよかったわね。,14,13,14
63,kon'nanitakusanmoracchatta。,こんなにたくさんもらっちゃった。,こんなにたくさんもらっちゃった。,こんなにたくさんもらっちゃった。,16,16,16
64,ugoitekurutoomoimasukeredomo。,動いてくると思いますけれども。,動いてくると思いますけれども。,動いてくると思いますけれども。,15,15,15
65,ryoutewoagetetenohirawouenishite。,両手を上げて手のひらを上にして。,両手を挙げて手のひらわえに私。,両手をあげて手のひらを上にして。,16,11,15
66,de-toniikerutonattara。,デートに行けるとなったら。,デートに行けるとなったら。,デートに行けるとなったら。,13,13,13
67,son'nakotonaidesutte。,そんなことないですって。,そんなことないですって。,そんなことないですって。,12,12,12
68,imadekirukotoganbaruttekimetanda。,今できること頑張るって決めたんだ。,今できることがんばるってきめたんだ。,今できること頑張るって決めたんだ。,17,13,17
69,gen'infumeinoshinkeihenseishikkan。,原因不明の神経変性疾患。,原因不明の新規編成誌質。,原因不明の神経編成疾患。,12,6,10
70,jaakekkyokukyounoikeuchitono。,じゃあ結局今日の池内との。,じゃう結局今日の受けたちとの。,じゃあ結局今日の池内との。,13,8,13
71,doushiyoukatoomottesa。,どうしようかと思ってさ。,どうしようかと思ってさ。,どうしようかと思ってさ。,12,12,12
72,sekkakunotanjoubinohini。,せっかくの誕生日の日に。,せっかくの誕生日の日に。,せっかくの誕生日の日に。,12,12,12
73,sakkibyouin'nidenwakiteta。,さっき病院に電話きてた。,逆規病院に電話ってた。,さっき病院に電話きてた。,12,8,12
74,mesuhaesawosagashiniderundakedo。,メスは餌を探しに出るんだけど。,目指はさを探しに出るんだけど。,メスは餌を探しに出るんだけど。,15,12,15
75,sonokandon'naniharahettemo。,その間どんなに腹減っても。,その間どんなにはラケっても。,その関どんなに腹減っても。,13,10,12
76,zuttotamagomamottemattendayo。,ずっと卵守って待ってんだよ。,ずっと卵ママも待って待ってんだよ。,ずっと卵守って待ってんだよ。,14,10,14
77,hontouhasenpaihakonaikamotteomotteta。,本当は先輩は来ないかもって思ってた。,本当は先輩はこないかもって思ってた。,本当は先輩は来ないかもって思ってた。,18,17,18
78,naniitterukawakan'nakunacchaundatte。,何言ってるか分かんなくなっちゃうんだって。,何言ってるかわんなくなっちゃうんだって。,何いってるかれれないですよ。,21,19,7
79,saigonihanetakirininatte。,最後には寝たきりになって。,最後にはネタキリになって。,最後には寝たきりになって。,13,9,13
80,sonojinbutsuhahadenapankufasshon'ni。,その人物は派手なパンクファッションに。,その人物はではなパンクファッションに。,その人物は派手なパンクファッションい。,19,17,18
81,miwotsutsundeitasoudesuga。,身を包んでいたそうですが。,身を包んでいたそうですが。,身を包んでいたそうですが。,13,13,13
82,masanian'nakanjideshita。,まさにあんな感じでした。,まさに安難じでした。,まさにあんな感じでした。,12,8,12
83,kiokunihajishingaarundesu。,記憶には自信があるんです。,記憶には地震があるんです。,記憶には自信があるんです。,13,11,13
84,sakihodoanatagamitanoha。,先ほどあなたが見たのは。,先ほどあなたが見たのは。,先ほどあなたが見たのは。,12,12,12
85,sakkikiokunihajishingaaruto。,さっき記憶には自信があると。,さっき記憶には自信があると。,さっき記憶には自信があると。,14,14,14
86,jishinganakunattekimashita。,自信がなくなってきました。,地震がなくなってきました。,自信がなくなってきました。,13,11,13
87,demomitemitakattawane。,でも見てみたかったわね。,でも観てみたかったわね。,でも見てみたかったわね。,12,11,12
88,iroirooshietekudasaine。,いろいろ教えてくださいね。,いろいろ教えてくださいね。,色々教えてくださいね。,13,13,9
89,jimushonokeieinikoukenshitekudasaine。,事務所の経営に貢献してくださいね。,事務所の経営に貢献してくださいね。,事務所の経営に貢献してくださいね。,17,17,17
90,sorehaiijanaidesuka。,それはいいじゃないですか。,それはいいじゃないですか。,それはいいじゃないですか。,13,13,13
91,kyouryokushitanohawatashitachidesu。,協力したのは私たちです。,協力したのは私たちです。,協力したのは私たちです。,12,12,12
92,watashimokyouryokuwoonegaisaretara。,私も協力をお願いされたら。,私も協力をお願いされたら。,私も協力をお願いされたら。,13,13,13
93,katsuraguraihakoumurimashitayo。,カツラぐらいは被りましたよ。,かつらぐらは効果丸しましたよ。,桂ぐらいは被りましたよ。,14,6,11
94,watashimochottohakyouryokushimashita。,私もちょっとは協力しました。,私もちょっとは協力しました。,私もちょっとは協力しました。,14,14,14
95,kouiutokihajankendesho。,こういう時はじゃんけんでしょ。,こういうときはジャンケンでしょ。,こういう時はじゃんけんでしょ。,15,8,15
96,miyatasanjanken'nikatete。,宮田さんじゃんけんに勝てて。,宮田さんじゃんにかてて。,宮田さんじゃんけんに勝てて。,14,11,14
97,omoikkirinonbirishichaimasho。,思いっきりのんびりしちゃいましょ。,思いっきりのんびりしちゃいましょ。,思いっきりのんびりしちゃいましょ。,17,17,17
98,toriaezuofurohairimashoune。,とりあえずお風呂入りましょうね。,とりあえずオフロ張りましょうね。,とりあえずお風呂入りましょうね。,16,12,16
99,osoroshiisatsujinjikengaokirukotonado。,恐ろしい殺人事件が起きる事など。,恐ろしい殺人事件が起きることなど。,恐ろしい殺人事件が起きることなど。,16,14,14
100,nonbirishiyoutteiimashitayone。,のんびりしようって言いましたよね。,のんびりしようって言いましたよね。,のんびりしようって言いましたよね。,17,17,17
101,purodexyu-sa-noshigotodesho。,プロデューサーの仕事でしょ。,プロデューサーの仕事でしょ。,プロデューサーの仕事でしょ。,14,14,14
102,torikatanokufuudenantokasurukara。,撮り方の工夫で何とかするから。,取り方の工夫で何とかするから。,とりかたの工夫でなんとかするから。,15,14,10
103,asasugadaijoyuuttekanji。,あさすが大女優って感じ。,浅夕が大女優って感じ。,あさすが大女優ってかんじ。,12,9,10
104,koukounotokinoyuujin'nandesu。,高校の時の友人なんです。,高校の時の友人なんです。,高校の時の友人なんです。,12,12,12
105,watashitachikokonitomatteruno。,私たちここに泊まってるの。,私たちここに泊まってるの。,私たちここに止まってるの。,13,13,12
106,madakakedashimitaidesukedo。,まだ駆け出しみたいですけど。,まだ掛け出したいですけど。,まだ駆け出しみたいですけど。,14,12,14
107,ohadatsurutsuruninarundesutte。,お肌ツルツルになるんですって。,お肌つるるつになるんですって。,お肌ツルツルになるんですって。,15,11,15
108,iroirotokuroushitandane。,いろいろと苦労したんだね。,いろいろと苦労したんだね。,色々と苦労したんだね。,13,13,9
109,watashihakonkaidakenandakedone。,私は今回だけなんだけどね。,私は今回だけなんだけどね。,私は今回だけなんだけどね。,13,13,13
110,mariesanhataichougawaruimitaide。,真理江さんは体調が悪いみたいで。,マリエさんは体調が悪いみたいで。,まりえさんは体調が悪いみたいで。,16,13,13
111,nanikachottokowasounahitone。,何かちょっと怖そうな人ね。,何かちょっと怖そうな人。,何かちょっと怖そうな人ね。,13,12,13
112,hontohaiihitonandayo。,ホントはいい人なんだよ。,ほんとはいい人なんだよ。,ほんとはいい人なんだよ。,12,9,9
113,asakarakantokunosugatagamiataranakute。,朝から監督の姿が見当たらなくて。,朝から監督の姿が見あたらなくて。,朝から監督の姿が見うと思うけど。,16,15,10
114,sukeju-rumokurucchatte。,スケジュールも狂っちゃって。,スケジュールもクルっちゃって。,スケジュールも狂っちゃって。,14,12,14
115,watashison'name-rudashitemasen。,私そんなメール出してません。,私そんなメールだしてません。,私そんなメールだしてません。,14,13,13
116,soushinkirokuganokottemasuyo。,送信記録が残ってますよ。,送信記録が残ってますよ。,送信記録が残ってますよ。,12,12,12
117,onsendesatsujinjikentosouguushitano。,温泉で殺人事件と遭遇したの。,温泉で殺人事件と総合したのか。,温泉で殺人事件と遭遇したの。,14,11,14
118,shashindakedewakaruwakenaidaro。,写真だけでわかるわけないだろ。,写真だけでわかるわけないだろ。,写真だけでわかるわけないだろ。,15,15,15
119,yamaokakantokutotashiromutsuminomaniha。,山岡監督と田代睦美の間には。,山岡監督と田口娘にの間は。,山岡監督と田代むつみのまには。,14,10,10
120,toiuokusokugatobikatteiru。,という憶測が飛び交っている。,という憶測が飛び交っている。,という憶測が飛び交っている。,14,14,14
121,masukomidewadaininatteirujikendakeni。,マスコミで話題になっている事件だけに。,マスコミで話題になっている事件だけに。,マスコミで話題になっている事件だけに。,19,19,19
122,shousosurebajimushononamaegaagarimasune。,勝訴すれば事務所の名前が上がりますね。,勝訴すれば事務の名前が上がりますね。,勝訴すれば事務所のなまえがあがりますね。,19,18,15
123,anatagasokomadeiundattara。,あなたがそこまで言うんだったら。,あなたがそこまでウインだったら。,貴方がそこまで言うんだったら。,16,13,13
124,sorehawatashigayokushitteimasu。,それは私がよく知っています。,それは私がよく知っています。,それは私がよく知っています。,14,14,14
125,hoterunosaijoukainiarutenboufuro。,ホテルの最上階にある展望風呂。,ホテルの最上会にある点風風。,ホテルの最上階にある展望ふろ。,15,11,13
126,kooriyamamadeikukurumanonakakara。,郡山まで行く車の中から。,氷山までいく車の丸中から。,郡山まで行く車の中から。,12,9,12
127,sakinikaettaowabiwoshiteokoutoomotte。,先に帰ったお詫びをしておこうと思って。,先に帰ったお詫びをしておこうと思って。,先に帰ったお詫びをしておこうとおもって。,19,19,17
128,sokodesaijoukainotenboufuronokotowo。,そこで最上階の展望風呂の事を。,そこで最上回の展望風呂のことを。,そこで最上階の点亡父ろのことを。,15,12,9
129,ohadagatsurutsuruninarukara。,お肌がツルツルになるから。,お肌がつるつるになるから。,お肌がツルツルになるから。,13,9,13
130,kyouryokusurukarananidemoittene。,協力するから何でも言ってね。,強力するから何でもいってね。,協力するからなにでも行ってね。,14,12,11
131,darekagakattenijibun'nokeitaiwotsukatte。,誰かが勝手に自分の携帯を使って。,誰かが勝手に自分の携帯を使った。,誰かが勝手に自分の携帯を使って。,16,15,16
132,shinhan'ningamitsukaranaimademo。,真犯人が見つからないまでも。,信販人が見つからないまでも。,真犯人が見つからないまでも。,14,12,14
133,dehahikokujinhasekinimodottekudasai。,では被告人は席に戻ってください。,ではひこく人は席に戻ってください。,では日黒人は席にもどってください。,16,13,12
134,seppakuryuuzan'nokikengaattasoudesuga。,切迫流産の危険があったそうですが。,せっぱく流残の危険があったそうですが。,切迫流産おきけんがあったそうですが。,17,12,13
135,suunichinyuuinsurebashinpainaisoudesu。,数日入院すれば心配ないそうです。,数日入院されば心配なしそうです。,数日入院すればしんぱいないそうです。,16,14,12
136,jaasaibanhaizuresaikaisaremasune。,じゃあ裁判はいずれ再開されますね。,じゃあいばばいずれら再開されますね。,じゃあ裁判はいずれ再開されますね。,17,13,17
137,sorenishitemozendaimimon'ne。,それにしても前代未聞ね。,それにしても前代みもんね。,それにしても前代未聞え。,12,9,11
138,mutsumidoushiteoshietekurenakattandarou。,睦美どうして教えてくれなかったんだろう。,むみどうして教えてくれなかったんだろう。,むつみどうして教えてくれなかったんだろう。,20,18,17
139,kantokugauramarerunantenaitoomou。,監督が恨まれるなんてないと思う。,監督が生まれるなんてないと思う。,監督が恨まれるなんてないと思う。,16,15,16
140,kibishiikedoomoiyarinoaruhitodakara。,厳しいけど思いやりのある人だから。,厳しいけどよいやりのある人だから。,厳しいけど思いやりのある人だから。,17,16,17
141,jouren'niuttayounakigashimasune。,常連に売ったような気がしますね。,条連に歌ったような気がしますね。,常連に打ったような気がしますね。,16,14,15
142,jayamaokasangasatsugaisaretajikokuni。,じゃ山岡さんが殺害された時刻に。,邪山岡夫さんが殺害された実告に。,じゃ山岡さんが殺害されたじこくに。,16,11,13
143,raunjideanatatoisshoniitanoha。,ラウンジであなたと一緒にいたのは。,ラウンジであなたと一緒にいたのは。,ラウンジであなたと一緒にいたのは。,17,17,17
144,arigatougozaimashita。,ありがとうございました。,ありがとうございました。,ありがとうございました。,12,12,12
145,nanikamutsumichan'nifurininarukotowo。,何か睦美ちゃんに不利になる事を。,何かむつみちゃんにフリになることを。,何かむつみちゃんいふりになることを。,16,9,8
146,tsugeguchisurumitaidehanashinikukutene。,告げ口するみたいで話しにくくてね。,つげぐつくるみたいで話しにくくてね。,告げ口するみたいで話しにくくてね。,17,13,17
147,kouchishonimodosaretasouyo。,拘置所に戻されたそうよ。,高知書に戻されたそうよ。,拘置所に戻されたそうよ。,12,9,12
148,iroirokiitemawattandesukedo。,色々訊いて回ったんですけど。,いろいろ聞いて回ったんですけど。,色々聞いて回ったんですけど。,14,9,13
149,anonichisakinitoukyounikaettemasu。,あの日先に東京に帰ってます。,あの日先に東京に帰ってます。,あの日先に東京に帰ってます。,14,14,14
150,kayamapurodexyu-sa-gashougenshitemasu。,香山プロデューサーが証言してます。,蚊ヤプロでブーサーが証言してます。,加山プロデューサーが証言してます。,17,13,16
151,inta-nettowotsuujitetoukousurundesu。,インターネットを通じて投稿するんです。,インターネットを通じて投稿するんです。,インターネットを通じて投稿するんです。,19,19,19
152,konodougagatoukousaretanoga。,この動画が投稿されたのが。,この動画が投稿されたのが。,この動画が投稿されたのが。,13,13,13
153,tsumarijiken'yokujitsunoasadesu。,つまり事件翌日の朝です。,つまり事件翌日の浅です。,つまり事件翌日のあさです。,12,11,10
154,yapparisatsueisaretanoha。,やっぱり撮影されたのは。,やっぱり撮影されたのは。,やっぱり撮影されたのは。,12,12,12
155,boushitomasukunootokoitajanaidesuka。,帽子とマスクの男いたじゃないですか。,帽子とマスクの男いたじゃないですか。,帽子とマスクの男いたじゃないですか。,18,18,18
156,anoshoutaigawakattandesu。,あの正体がわかったんです。,あの正体がわかったんです。,あの正体がわかったんです。,13,13,13
157,aiteyakuwotsutomerusutouken'ichisankara。,相手役を務める須藤健一さんから。,相手役を務めると数計禁地さんから。,相手役を勤める須藤けにちさんから。,16,11,12
158,houfuwoukagaitaitoomoimasu。,抱負を伺いたいと思います。,豊富を伺が痛いと思います。,豊富を伺いたいと思います。,13,9,11
159,fan'nohitohatachiirikinshidesuyo。,ファンの人は立ち入り禁止ですよ。,ファンの人はたちいり近んですよ。,ファンの人は立入禁止ですよ。,16,12,14
160,juunanseigaaruttekotojanaidesuka。,柔軟性があるって事じゃないですか。,柔軟性があるってことじゃないですか。,じゅうなん性があるってことじゃないですか。,17,15,10
161,kurumamadenoseteitadaite。,車まで乗せていただいて。,車までのせていただいて。,車までのせていただいて。,12,11,11
162,sorehaaribaidemonanidemonaizo。,それはアリバイでも何でもないぞ。,それはあり場でも何でもないぞ。,それはアリバイでも何でもないぞ。,16,12,16
163,sekkakuyasashikushiteagetanoni。,せっかく優しくしてあげたのに。,せっかく優しく仕て上げたのに。,せっかく優しくしてあげたのに。,15,13,15
164,senseikonoheyananikaatsukunaidesuka。,先生この部屋何か暑くないですか。,先生この部屋何かに扱くないですか。,先生この部屋何か暑くないですか。,16,14,16
165,rimokondokoicchattandarou。,リモコンどこいっちゃったんだろう。,リモコンドコイっちゃったんだろう。,りも今度こいっちゃったんだろう。,17,14,12
166,zuttokikasetemorattattewakeda。,ずっと聞かせてもらったってわけだ。,ずっと聞かせてもらったってわけだ。,ずっと聞かせてもらったってわけだ。,17,17,17
167,otegaratoiitaitokorodagana。,お手柄と言いたいところだがな。,お手柄といいたいところだがな。,お手柄と言いたいところだがな。,15,14,15
168,koregayamamurayoukonosaibou。,これが山村ヨウコの細胞。,これが山々良子の菜胞。,これが山村ようこの際ぼう。,12,7,6
169,arenaratokkunikaisekishoriwooeta。,あれならとっくに解析処理を終えた。,あれならトックに回析シリを終えた。,あれならとっくに解析処理をおえた。,17,11,16
170,orenohoudemoshirabetemitainda。,俺のほうでも調べてみたいんだ。,俺の方でも知べてみたいんだ。,俺の方でも調べてみたいんだ。,15,12,13
171,kunrenwouketachouhon'nindesura。,訓練を受けた張本人ですら。,訓練を受けた町本人ですら。,訓練を受けた張本人ですら。,13,12,13
172,taekirerumonohaimasen。,耐え切れる者はいません。,耐え切れるものはいません。,耐えきれるものは居ません。,12,10,8
173,isshonigohantaberutokoronano。,一緒にご飯食べるところなの。,一緒にご飯食べるところなの。,一緒にご飯食べるところなの。,14,14,14
174,kon'natazunekatashikadekinakute。,こんな訪ね方しか出来なくて。,こんな尋ね若しかできなくて。,こんな尋ねか確かできなくて。,14,10,9
175,aruyatsunonamaetojuushowo。,あるヤツの名前と住所を。,あるやつの名前と住所を。,あるやつの名前と住所を。,12,10,10
176,soshitarahontounisoitsugashinde。,そしたら本当にそいつが死んで。,そしたら本当に沿い津が死んで。,そしたら本当にそいつが死んで。,15,13,15
177,yatsuraniyarareppanashida。,やつらにやられっぱなしだ。,やつらにやられっぱなしだ。,奴らにやられっぱなしだ。,13,13,11
178,imasukoshiyasumaseterundesu。,いま少し休ませてるんです。,今少しやすませてるんです。,今少し休ませてるんです。,13,9,11
179,saikaisarerukotohenokyoufuwoidakimasu。,再開されることへの恐怖を抱きます。,再開されることへの恐怖をいきだきます。,再開されることへのきょうふをいだきます。,17,14,11
180,mamonakukanojohaochimasu。,間もなく彼女は落ちます。,まもなく彼女は落ちます。,間もなく彼女は落ちます。,12,11,12
181,shikkarioboetehoshindakedo。,しっかり覚えてほしんだけど。,しっかり覚えてほしんだけど。,しっかり覚えて欲しんだけど。,14,14,13
182,chichioyanokotowoaitsunishiraseruna。,父親のことをあいつに知らせるな。,父親のことを愛しに知らせるな。,父親のことをあいつに知らせるな。,16,13,16
183,zenzen'ochine-janaika。,全然落ちねーじゃないか。,全然おチネージャないか。,全然落ちねーじゃないか。,12,7,12
184,yosouijouninebatteimasu。,予想以上に粘っています。,予想以上に粘っています。,予想以上に粘っています。,12,12,12
185,dattaramottoreberuwoagero。,だったらもっとレベルを上げろ。,だったらもっとレベルを上げろ。,だったらもっとレベルを上げろ。,15,15,15
186,shindeshimattaranidototegakari。,死んでしまったら二度と手がかり。,真でしまったら二度と手紙か。,死んでしまったら二度と手掛かり。,16,12,15
187,kakawaraserukotohahontounisaketaindaga。,関わらせることは本当に避けたいんだが。,かからわせることは本当に避けたいんだが。,関わらせる事は本当にさ桁いんだが。,19,16,14
188,aitsurawotsukamaeruchansunandaro。,あいつらを捕まえるチャンスなんだろ。,相つらを使えるチャンスなんだろ。,あいつらを捕まえるチャンスなんだろ。,18,14,18
189,terorisutokakuhonosaininanikaattatokiha。,テロリスト確保の際に何かあった時は。,テロリスト各補の最に何かあったときは。,テロリスト確保のさいになにかあったときは。,18,13,12
190,kuniwomamorukotogasaiyuusenda。,国を守ることが最優先だ。,国を守ることが最優先だ。,国を守る事が最優先だ。,12,12,10
191,demochottogenkidetekimashita。,でもちょっと元気出てきました。,でもちょっと元気出てきました。,でもちょっと元気出てきました。,15,15,15
192,sonohitoniawaseteageru。,その人に会わせてあげる。,その人に合わせてあげる。,その人に合わせてあげる。,12,11,11
193,son'namonsakkinoaoikurumawo。,そんなもんさっきの青い車を。,そんなもんさっきのあいくるを。,そんなもんさっきの青い車を。,14,11,14
