NUM	ROMAJI	EXPECTED	GOT (M)	SwiftKey 6.4.8.57 (S)	FULL SCORE	M
23	demootousangakiitarataihendane。	でもお父さんが聞いたら大変だね。	でも倒父さんが聞いたら大変だね。	でもお父さんが聞いたら大変だね。	16	15
24	dattewatashibyoukininacchattadesho。	だってわたし病気になっちゃったでしょ。	だって私病気になっちゃったでしょ。	だって私病気になっちゃったでしょ。	19	16
25	dakarasenpainimomeiwakukakechaukamo。	だから先輩にも迷惑かけちゃうかも。	だから先輩にも迷惑かけ？	だから先輩にも迷惑かけちゃうかも。	17	11
26	fukouheinakotowoshiyoutoshiterunoha。	不公平なことをしようとしてるのは。	不好評なことを使用としてるのは。	不公平なことをしようとしてるのは。	17	12
27	hanabitaikaiguraiisshoniikudesho。	花火大会ぐらい一緒に行くでしょ。	花火大会ぐらいいっしょに行くでしょ。	花火大会ぐらい一緒に行くでしょ。	16	12
28	dekirukotojibunkaranagedasunante。	できること自分から投げ出すなんて。	できること自分から投げ出すなんて。	できること自分から投げ出すなんて。	17	17
29	kamisamahafukouheidananteitta。	神様は不公平だなんて言った。	神様は不好平なんていった。	神様は不公平だなんて行った。	14	11
30	yukatakitekamiappunishitara。	浴衣着て髪アップにしたら。	浴衣的にカアップにしたら。	浴衣着て髪アップにしたら。	13	10
31	senpaikittobikkurisuruwayo。	先輩きっとびっくりするわよ。	先輩キッとびっくりするわよ。	先輩きっとびっくりするわよ。	14	12
32	okaasan'nogokougamietekitayounakigasuru。	お母さんの後光が見えてきたような気がする。	お母さんのご高が見えてきたような気がする。	お母さんの後光が見えてきたような気がする。	21	19
33	watashihajibunwoshinjitekoudousurebaii。	わたしは自分を信じて行動すればいい。	私は自分を信じて航道すればいい。	私は自分を信じて行動すればいい。	18	13
34	yappanatsuhayukatatosuikato。	やっぱ夏は浴衣とスイカと。	やっぱ夏はゆかたと推可。	やっぱ夏は浴衣とすいかと。	13	6
35	otomodachimomin'natsuiterushi。	お友達もみんなついてるし。	お友達もみんなついてるし。	お友達もみんなついてるし。	13	13
36	mitsukeruhitsuyougaarimasu。	見つける必要があります。	見つける必要があります。	見つける必要があります。	12	12
37	natsuyasumiworiyoushitekensanotameno。	夏休みを利用して検査のための。	夏休みを利用して検査のための。	夏休みを利用して検査のための。	15	15
38	nyuuinwosaretehaikagadeshouka。	入院をされてはいかがでしょうか。	入院をされてはいかがでしょうか。	入院をされてはいかがでしょうか。	16	16
39	koukanihakojinsagaarunode。	効果には個人差があるので。	効果には個人差があるので。	効果には個人差があるので。	13	13
40	sukoshinagakunarukamoshirenaikara。	少し長くなるかもしれないから。	少し長くなるかもしれないから。	少し長くなるかもしれないから。	15	15
41	omaetachimouosoikaranenasai。	お前たちもう遅いから寝なさい。	お前たちもうおそからねなさい。	お前たちもう遅いから寝なさい。	15	12
42	mawarigamenihairanakattandayo。	周りが目に入らなかったんだよ。	周りが目に入らなかったんだよ。	周りが目に入らなかったんだよ。	15	15
43	rihabiriwotantousurutanabedesu。	リハビリを担当する田辺です。	リハビリを担当するたなべゅです。	リハビリを担当する田辺です。	14	10
44	iroirokangaekatagaarukedo。	いろいろ考え方があるけど。	いろいろ考え方があるけど。	色々考え方がおううせいはぜろじゃない。	13	13
45	shokkumokangaetemiroyo。	ショックも考えてみろよ。	ショックも考えてみろよ。	ショックも考えてみろよ。	12	12
46	shouraiyuukounashin'yakuyachiryouhouga。	将来有効な新薬や治療法が。	将来有効な四宮や治療法が。	将来有効な深夜悔ちりょうほうが。	13	11
47	kanjamoishimochiryounisen'nensuru。	患者も医師も治療に専念する。	患者もいしもちょうに先線する。	患者も石も治療にせんえんする。	14	7
48	suguomimaiikanakya。	すぐお見舞い行かなきゃ。	すぐお見いいかなきゃ。	すぐお見舞い行かなきゃ。	12	10
49	kurasunomin'nanikoekakeru。	クラスのみんなに声かける。	クラスのみんなに声掛ける。	クラスのみんなに声かける。	13	12
50	akookaasan'yuugatabyouin'yottekurukara。	亜湖お母さん夕方病院寄ってくるから。	赤岡さん左夕た病院よってくるから。	あこお母さん夕方病院ょってくるから。	18	11
51	osokunarutoomoundakedo。	遅くなると思うんだけど。	遅くなると思うんだけど。	遅くなると思うんだけど。	12	12
52	narubekuhayakukaeruyounihasurukedo。	なるべく早く帰るようにはするけど。	なるべく早く変えるように走るけど。	なるべく早く帰るようにはするけど。	17	13
53	watashimamitoyakusokuarundakara。	わたしマミと約束あるんだから。	私嶋と約束あるんだから。	私まみと約束あるんだから。	15	10
54	imahakazokugaicchidanketsushite。	今は家族が一致団結して。	今は家族が一致脱結して。	今は家族が一致団結して。	12	11
55	gato-bonu-runoke-kida。	ガトーボヌールのケーキだ。	がとーボンルーのケキーだ。	ガトーboぬールンけーきだ。	13	6
56	ichiouninzuubunkattearuwayo。	一応人数分買ってあるわよ。	一応人数分かってあるわよ。	一応人数分買ってあるわよ。	13	12
57	asoukun'niaitakutekitanonine。	麻生君に会いたくて来たのにね。	麻生雲に空いたくて頼のにね。	麻生君に会いたくてきたのにね。	15	11
58	ichioukoehakaketanssukedone。	一応声はかけたんっすけどね。	一応声はかけたんっすけどね。	一応声はかけたんっすけどね。	14	14
59	nanikakanjigakawacchatta。	何か感じが変わっちゃった。	何かかんがかわったっちゃった。	何か感じが変わっちゃった。	13	8
60	kondohatsukaman'naiyounishiroyo。	今度は捕まんないようにしろよ。	今度は妻マン内容に白よ。	今度はつかまんない様にしろよ。	15	6
61	tochuumadeisshoniitandakedo。	途中まで一緒にいたんだけど。	途中まで一緒にいたんだけど。	途中まで一緒にいたんだけど。	14	14
62	tsuginonikkawatoudehakkensaretano。	次の日川島で発見されたの。	次の日課党塔で発見されたの。	次の日川等で発見されたの。	13	10
63	anmarishin'youshitenairashii。	あんまり信用してないらしい。	あんまり心用してないらしい。	あんまり信用してないらしい。	14	13
64	tomodachikitekureteyokattawane。	友達来てくれてよかったわね。	友達き来てくれてよかったわね。	友達来てくれてよかったわね。	14	13
65	kon'nanitakusanmoracchatta。	こんなにたくさんもらっちゃった。	こんなにたくさんもらっちゃった。	こんなにたくさんもらっちゃった。	16	16
66	ugoitekurutoomoimasukeredomo。	動いてくると思いますけれども。	動いてくると思いますけれども。	動いてくると思いますけれども。	15	15
67	ryoutewoagetetenohirawouenishite。	両手を上げて手のひらを上にして。	両手を挙げて手のひらわえに私。	両手をあげて手のひらを上にして。	16	11
68	de-toniikerutonattara。	デートに行けるとなったら。	デートに行けるとなったら。	デートに行けるとなったら。	13	13
69	son'nakotonaidesutte。	そんなことないですって。	そんなことないですって。	そんなことないですって。	12	12
70	imadekirukotoganbaruttekimetanda。	今できること頑張るって決めたんだ。	今できることがんばるってきめたんだ。	今できること頑張るって決めたんだ。	17	13
71	gen'infumeinoshinkeihenseishikkan。	原因不明の神経変性疾患。	原因不明の新規編成誌質。	原因不明の神経編成疾患。	12	6
72	jaakekkyokukyounoikeuchitono。	じゃあ結局今日の池内との。	じゃう結局今日の受けたちとの。	じゃあ結局今日の池内との。	13	8
73	doushiyoukatoomottesa。	どうしようかと思ってさ。	どうしようかと思ってさ。	どうしようかと思ってさ。	12	12
74	sekkakunotanjoubinohini。	せっかくの誕生日の日に。	せっかくの誕生日の日に。	せっかくの誕生日の日に。	12	12
75	sakkibyouin'nidenwakiteta。	さっき病院に電話きてた。	逆規病院に電話ってた。	さっき病院に電話きてた。	12	8
76	mesuhaesawosagashiniderundakedo。	メスは餌を探しに出るんだけど。	目指はさを探しに出るんだけど。	メスは餌を探しに出るんだけど。	15	12
77	sonokandon'naniharahettemo。	その間どんなに腹減っても。	その間どんなにはラケっても。	その関どんなに腹減っても。	13	10
78	zuttotamagomamottemattendayo。	ずっと卵守って待ってんだよ。	ずっと卵ママも待って待ってんだよ。	ずっと卵守って待ってんだよ。	14	10
79	hontouhasenpaihakonaikamotteomotteta。	本当は先輩は来ないかもって思ってた。	本当は先輩はこないかもって思ってた。	本当は先輩は来ないかもって思ってた。	18	17
80	naniitterukawakan'nakunacchaundatte。	何言ってるか分かんなくなっちゃうんだって。	何言ってるかわんなくなっちゃうんだって。	何いってるかれれないですよ。	21	19
81	saigonihanetakirininatte。	最後には寝たきりになって。	最後にはネタキリになって。	最後には寝たきりになって。	13	9
82	sonojinbutsuhahadenapankufasshon'ni。	その人物は派手なパンクファッションに。	その人物はではなパンクファッションに。	その人物は派手なパンクファッションい。	19	17
83	miwotsutsundeitasoudesuga。	身を包んでいたそうですが。	身を包んでいたそうですが。	身を包んでいたそうですが。	13	13
84	masanian'nakanjideshita。	まさにあんな感じでした。	まさに安難じでした。	まさにあんな感じでした。	12	8
85	kiokunihajishingaarundesu。	記憶には自信があるんです。	記憶には地震があるんです。	記憶には自信があるんです。	13	11
86	sakihodoanatagamitanoha。	先ほどあなたが見たのは。	先ほどあなたが見たのは。	先ほどあなたが見たのは。	12	12
87	sakkikiokunihajishingaaruto。	さっき記憶には自信があると。	さっき記憶には自信があると。	さっき記憶には自信があると。	14	14
88	jishinganakunattekimashita。	自信がなくなってきました。	地震がなくなってきました。	自信がなくなってきました。	13	11
89	demomitemitakattawane。	でも見てみたかったわね。	でも観てみたかったわね。	でも見てみたかったわね。	12	11
90	iroirooshietekudasaine。	いろいろ教えてくださいね。	いろいろ教えてくださいね。	色々教えてくださいね。	13	13
91	jimushonokeieinikoukenshitekudasaine。	事務所の経営に貢献してくださいね。	事務所の経営に貢献してくださいね。	事務所の経営に貢献してくださいね。	17	17
92	sorehaiijanaidesuka。	それはいいじゃないですか。	それはいいじゃないですか。	それはいいじゃないですか。	13	13
93	kyouryokushitanohawatashitachidesu。	協力したのは私たちです。	協力したのは私たちです。	協力したのは私たちです。	12	12
94	watashimokyouryokuwoonegaisaretara。	私も協力をお願いされたら。	私も協力をお願いされたら。	私も協力をお願いされたら。	13	13
95	katsuraguraihakoumurimashitayo。	カツラぐらいは被りましたよ。	かつらぐらは効果丸しましたよ。	桂ぐらいは被りましたよ。	14	6
96	watashimochottohakyouryokushimashita。	私もちょっとは協力しました。	私もちょっとは協力しました。	私もちょっとは協力しました。	14	14
97	kouiutokihajankendesho。	こういう時はじゃんけんでしょ。	こういうときはジャンケンでしょ。	こういう時はじゃんけんでしょ。	15	8
98	miyatasanjanken'nikatete。	宮田さんじゃんけんに勝てて。	宮田さんじゃんにかてて。	宮田さんじゃんけんに勝てて。	14	11
99	omoikkirinonbirishichaimasho。	思いっきりのんびりしちゃいましょ。	思いっきりのんびりしちゃいましょ。	思いっきりのんびりしちゃいましょ。	17	17
100	toriaezuofurohairimashoune。	とりあえずお風呂入りましょうね。	とりあえずオフロ張りましょうね。	とりあえずお風呂入りましょうね。	16	12
101	osoroshiisatsujinjikengaokirukotonado。	恐ろしい殺人事件が起きる事など。	恐ろしい殺人事件が起きることなど。	恐ろしい殺人事件が起きることなど。	16	14
102	nonbirishiyoutteiimashitayone。	のんびりしようって言いましたよね。	のんびりしようって言いましたよね。	のんびりしようって言いましたよね。	17	17
103	purodexyu-sa-noshigotodesho。	プロデューサーの仕事でしょ。	プロデューサーの仕事でしょ。	プロデューサーの仕事でしょ。	14	14
104	torikatanokufuudenantokasurukara。	撮り方の工夫で何とかするから。	取り方の工夫で何とかするから。	とりかたの工夫でなんとかするから。	15	14
105	asasugadaijoyuuttekanji。	あさすが大女優って感じ。	浅夕が大女優って感じ。	あさすが大女優ってかんじ。	12	9
106	koukounotokinoyuujin'nandesu。	高校の時の友人なんです。	高校の時の友人なんです。	高校の時の友人なんです。	12	12
107	watashitachikokonitomatteruno。	私たちここに泊まってるの。	私たちここに泊まってるの。	私たちここに止まってるの。	13	13
108	madakakedashimitaidesukedo。	まだ駆け出しみたいですけど。	まだ掛け出したいですけど。	まだ駆け出しみたいですけど。	14	12
109	ohadatsurutsuruninarundesutte。	お肌ツルツルになるんですって。	お肌つるるつになるんですって。	お肌ツルツルになるんですって。	15	11
110	iroirotokuroushitandane。	いろいろと苦労したんだね。	いろいろと苦労したんだね。	色々と苦労したんだね。	13	13
111	watashihakonkaidakenandakedone。	私は今回だけなんだけどね。	私は今回だけなんだけどね。	私は今回だけなんだけどね。	13	13
112	mariesanhataichougawaruimitaide。	真理江さんは体調が悪いみたいで。	マリエさんは体調が悪いみたいで。	まりえさんは体調が悪いみたいで。	16	13
113	nanikachottokowasounahitone。	何かちょっと怖そうな人ね。	何かちょっと怖そうな人。	何かちょっと怖そうな人ね。	13	12
114	hontohaiihitonandayo。	ホントはいい人なんだよ。	ほんとはいい人なんだよ。	ほんとはいい人なんだよ。	12	9
115	asakarakantokunosugatagamiataranakute。	朝から監督の姿が見当たらなくて。	朝から監督の姿が見あたらなくて。	朝から監督の姿が見うと思うけど。	16	15
116	sukeju-rumokurucchatte。	スケジュールも狂っちゃって。	スケジュールもクルっちゃって。	スケジュールも狂っちゃって。	14	12
117	noborikumojinjadeattekudasai。	昇雲神社で会ってください。	登りも順じゃんであって下さい。	登り雲神社であってください。	13	3
118	watashison'name-rudashitemasen。	私そんなメール出してません。	私そんなメールだしてません。	私そんなメールだしてません。	14	13
119	soushinkirokuganokottemasuyo。	送信記録が残ってますよ。	送信記録が残ってますよ。	送信記録が残ってますよ。	12	12
120	onsendesatsujinjikentosouguushitano。	温泉で殺人事件と遭遇したの。	温泉で殺人事件と総合したのか。	温泉で殺人事件と遭遇したの。	14	11
121	shashindakedewakaruwakenaidaro。	写真だけでわかるわけないだろ。	写真だけでわかるわけないだろ。	写真だけでわかるわけないだろ。	15	15
122	yamaokakantokutotashiromutsuminomaniha。	山岡監督と田代睦美の間には。	山岡監督と田口娘にの間は。	山岡監督と田代むつみのまには。	14	10
123	toiuokusokugatobikatteiru。	という憶測が飛び交っている。	という憶測が飛び交っている。	という憶測が飛び交っている。	14	14
124	masukomidewadaininatteirujikendakeni。	マスコミで話題になっている事件だけに。	マスコミで話題になっている事件だけに。	マスコミで話題になっている事件だけに。	19	19
125	shousosurebajimushononamaegaagarimasune。	勝訴すれば事務所の名前が上がりますね。	勝訴すれば事務の名前が上がりますね。	勝訴すれば事務所のなまえがあがりますね。	19	18
126	anatagasokomadeiundattara。	あなたがそこまで言うんだったら。	あなたがそこまでウインだったら。	貴方がそこまで言うんだったら。	16	13
127	sorehawatashigayokushitteimasu。	それは私がよく知っています。	それは私がよく知っています。	それは私がよく知っています。	14	14
128	hoterunosaijoukainiarutenboufuro。	ホテルの最上階にある展望風呂。	ホテルの最上会にある点風風。	ホテルの最上階にある展望ふろ。	15	11
129	kooriyamamadeikukurumanonakakara。	郡山まで行く車の中から。	氷山までいく車の丸中から。	郡山まで行く車の中から。	12	9
130	sakinikaettaowabiwoshiteokoutoomotte。	先に帰ったお詫びをしておこうと思って。	先に帰ったお詫びをしておこうと思って。	先に帰ったお詫びをしておこうとおもって。	19	19
131	sokodesaijoukainotenboufuronokotowo。	そこで最上階の展望風呂の事を。	そこで最上回の展望風呂のことを。	そこで最上階の点亡父ろのことを。	15	12
132	ohadagatsurutsuruninarukara。	お肌がツルツルになるから。	お肌がつるつるになるから。	お肌がツルツルになるから。	13	9
133	kyouryokusurukarananidemoittene。	協力するから何でも言ってね。	強力するから何でもいってね。	協力するからなにでも行ってね。	14	12
134	darekagakattenijibun'nokeitaiwotsukatte。	誰かが勝手に自分の携帯を使って。	誰かが勝手に自分の携帯を使った。	誰かが勝手に自分の携帯を使って。	16	15
135	shinhan'ningamitsukaranaimademo。	真犯人が見つからないまでも。	信販人が見つからないまでも。	真犯人が見つからないまでも。	14	12
136	dehahikokujinhasekinimodottekudasai。	では被告人は席に戻ってください。	ではひこく人は席に戻ってください。	では日黒人は席にもどってください。	16	13
137	seppakuryuuzan'nokikengaattasoudesuga。	切迫流産の危険があったそうですが。	せっぱく流残の危険があったそうですが。	切迫流産おきけんがあったそうですが。	17	12
138	suunichinyuuinsurebashinpainaisoudesu。	数日入院すれば心配ないそうです。	数日入院されば心配なしそうです。	数日入院すればしんぱいないそうです。	16	14
139	jaasaibanhaizuresaikaisaremasune。	じゃあ裁判はいずれ再開されますね。	じゃあいばばいずれら再開されますね。	じゃあ裁判はいずれ再開されますね。	17	13
140	sorenishitemozendaimimon'ne。	それにしても前代未聞ね。	それにしても前代みもんね。	それにしても前代未聞え。	12	9
141	mutsumidoushiteoshietekurenakattandarou。	睦美どうして教えてくれなかったんだろう。	むみどうして教えてくれなかったんだろう。	むつみどうして教えてくれなかったんだろう。	20	18
142	kantokugauramarerunantenaitoomou。	監督が恨まれるなんてないと思う。	監督が生まれるなんてないと思う。	監督が恨まれるなんてないと思う。	16	15
143	kibishiikedoomoiyarinoaruhitodakara。	厳しいけど思いやりのある人だから。	厳しいけどよいやりのある人だから。	厳しいけど思いやりのある人だから。	17	16
144	jikentohakankeinaitoomoimasukedo。	事件とは関係ないと思いますけど。	事件とは関係ないと思いますけど。	事件とは関係ないと思いまあいのひとはぜになりばいせいりつです。	16	16
145	jouren'niuttayounakigashimasune。	常連に売ったような気がしますね。	条連に歌ったような気がしますね。	常連に打ったような気がしますね。	16	14
146	jayamaokasangasatsugaisaretajikokuni。	じゃ山岡さんが殺害された時刻に。	邪山岡夫さんが殺害された実告に。	じゃ山岡さんが殺害されたじこくに。	16	11
147	raunjideanatatoisshoniitanoha。	ラウンジであなたと一緒にいたのは。	ラウンジであなたと一緒にいたのは。	ラウンジであなたと一緒にいたのは。	17	17
148	arigatougozaimashita。	ありがとうございました。	ありがとうございました。	ありがとうございました。	12	12
149	nanikamutsumichan'nifurininarukotowo。	何か睦美ちゃんに不利になる事を。	何かむつみちゃんにフリになることを。	何かむつみちゃんいふりになることを。	16	9
150	tsugeguchisurumitaidehanashinikukutene。	告げ口するみたいで話しにくくてね。	つげぐつくるみたいで話しにくくてね。	告げ口するみたいで話しにくくてね。	17	13
151	kouchishonimodosaretasouyo。	拘置所に戻されたそうよ。	高知書に戻されたそうよ。	拘置所に戻されたそうよ。	12	9
152	iroirokiitemawattandesukedo。	色々訊いて回ったんですけど。	いろいろ聞いて回ったんですけど。	色々聞いて回ったんですけど。	14	9
153	anonichisakinitoukyounikaettemasu。	あの日先に東京に帰ってます。	あの日先に東京に帰ってます。	あの日先に東京に帰ってます。	14	14
154	kayamapurodexyu-sa-gashougenshitemasu。	香山プロデューサーが証言してます。	蚊ヤプロでブーサーが証言してます。	加山プロデューサーが証言してます。	17	13
155	tabuchimarikousan'noaribaidesu。	田淵真理江さんのアリバイです。	たぶちマリコ産んのありばいです。	田淵まり降参おありばいです。	15	4
156	inta-nettowotsuujitetoukousurundesu。	インターネットを通じて投稿するんです。	インターネットを通じて投稿するんです。	インターネットを通じて投稿するんです。	19	19
157	konodougagatoukousaretanoga。	この動画が投稿されたのが。	この動画が投稿されたのが。	この動画が投稿されたのが。	13	13
158	tsumarijiken'yokujitsunoasadesu。	つまり事件翌日の朝です。	つまり事件翌日の浅です。	つまり事件翌日のあさです。	12	11
159	yapparisatsueisaretanoha。	やっぱり撮影されたのは。	やっぱり撮影されたのは。	やっぱり撮影されたのは。	12	12
160	boushitomasukunootokoitajanaidesuka。	帽子とマスクの男いたじゃないですか。	帽子とマスクの男いたじゃないですか。	帽子とマスクの男いたじゃないですか。	18	18
161	anoshoutaigawakattandesu。	あの正体がわかったんです。	あの正体がわかったんです。	あの正体がわかったんです。	13	13
162	aiteyakuwotsutomerusutouken'ichisankara。	相手役を務める須藤健一さんから。	相手役を務めると数計禁地さんから。	相手役を勤める須藤けにちさんから。	16	11
163	houfuwoukagaitaitoomoimasu。	抱負を伺いたいと思います。	豊富を伺が痛いと思います。	豊富を伺いたいと思います。	13	9
164	fan'nohitohatachiirikinshidesuyo。	ファンの人は立ち入り禁止ですよ。	ファンの人はたちいり近んですよ。	ファンの人は立入禁止ですよ。	16	12
165	juunanseigaaruttekotojanaidesuka。	柔軟性があるって事じゃないですか。	柔軟性があるってことじゃないですか。	じゅうなん性があるってことじゃないですか。	17	15
166	kurumamadenoseteitadaite。	車まで乗せていただいて。	車までのせていただいて。	車までのせていただいて。	12	11
167	sorehaaribaidemonanidemonaizo。	それはアリバイでも何でもないぞ。	それはあり場でも何でもないぞ。	それはアリバイでも何でもないぞ。	16	12
168	sekkakuyasashikushiteagetanoni。	せっかく優しくしてあげたのに。	せっかく優しく仕て上げたのに。	せっかく優しくしてあげたのに。	15	13
169	senseikonoheyananikaatsukunaidesuka。	先生この部屋何か暑くないですか。	先生この部屋何かに扱くないですか。	先生この部屋何か暑くないですか。	16	14
170	rimokondokoicchattandarou。	リモコンどこいっちゃったんだろう。	リモコンドコイっちゃったんだろう。	りも今度こいっちゃったんだろう。	17	14
171	zuttokikasetemorattattewakeda。	ずっと聞かせてもらったってわけだ。	ずっと聞かせてもらったってわけだ。	ずっと聞かせてもらったってわけだ。	17	17
172	otegaratoiitaitokorodagana。	お手柄と言いたいところだがな。	お手柄といいたいところだがな。	お手柄と言いたいところだがな。	15	14
173	koregayamamurayoukonosaibou。	これが山村ヨウコの細胞。	これが山々良子の菜胞。	これが山村ようこの際ぼう。	12	7
174	arenaratokkunikaisekishoriwooeta。	あれならとっくに解析処理を終えた。	あれならトックに回析シリを終えた。	あれならとっくに解析処理をおえた。	17	11
175	orenohoudemoshirabetemitainda。	俺のほうでも調べてみたいんだ。	俺の方でも知べてみたいんだ。	俺の方でも調べてみたいんだ。	15	12
176	kunrenwouketachouhon'nindesura。	訓練を受けた張本人ですら。	訓練を受けた町本人ですら。	訓練を受けた張本人ですら。	13	12
177	taekirerumonohaimasen。	耐え切れる者はいません。	耐え切れるものはいません。	耐えきれるものは居ません。	12	10
178	isshonigohantaberutokoronano。	一緒にご飯食べるところなの。	一緒にご飯食べるところなの。	一緒にご飯食べるところなの。	14	14
179	kon'natazunekatashikadekinakute。	こんな訪ね方しか出来なくて。	こんな尋ね若しかできなくて。	こんな尋ねか確かできなくて。	14	10
180	aruyatsunonamaetojuushowo。	あるヤツの名前と住所を。	あるやつの名前と住所を。	あるやつの名前と住所を。	12	10
181	soshitarahontounisoitsugashinde。	そしたら本当にそいつが死んで。	そしたら本当に沿い津が死んで。	そしたら本当にそいつが死んで。	15	13
182	yatsuraniyarareppanashida。	やつらにやられっぱなしだ。	やつらにやられっぱなしだ。	奴らにやられっぱなしだ。	13	13
183	imasukoshiyasumaseterundesu。	いま少し休ませてるんです。	今少しやすませてるんです。	今少し休ませてるんです。	13	9
184	saikaisarerukotohenokyoufuwoidakimasu。	再開されることへの恐怖を抱きます。	再開されることへの恐怖をいきだきます。	再開されることへのきょうふをいだきます。	17	14
185	mamonakukanojohaochimasu。	間もなく彼女は落ちます。	まもなく彼女は落ちます。	間もなく彼女は落ちます。	12	11
186	shikkarioboetehoshindakedo。	しっかり覚えてほしんだけど。	しっかり覚えてほしんだけど。	しっかり覚えて欲しんだけど。	14	14
187	chichioyanokotowoaitsunishiraseruna。	父親のことをあいつに知らせるな。	父親のことを愛しに知らせるな。	父親のことをあいつに知らせるな。	16	13
188	zenzen'ochine-janaika。	全然落ちねーじゃないか。	全然おチネージャないか。	全然落ちねーじゃないか。	12	7
189	yosouijouninebatteimasu。	予想以上に粘っています。	予想以上に粘っています。	予想以上に粘っています。	12	12
190	dattaramottoreberuwoagero。	だったらもっとレベルを上げろ。	だったらもっとレベルを上げろ。	だったらもっとレベルを上げろ。	15	15
191	shindeshimattaranidototegakari。	死んでしまったら二度と手がかり。	真でしまったら二度と手紙か。	死んでしまったら二度と手掛かり。	16	12
192	kakawaraserukotohahontounisaketaindaga。	関わらせることは本当に避けたいんだが。	かからわせることは本当に避けたいんだが。	関わらせる事は本当にさ桁いんだが。	19	16
193	aitsurawotsukamaeruchansunandaro。	あいつらを捕まえるチャンスなんだろ。	相つらを使えるチャンスなんだろ。	あいつらを捕まえるチャンスなんだろ。	18	14
194	terorisutokakuhonosaininanikaattatokiha。	テロリスト確保の際に何かあった時は。	テロリスト各補の最に何かあったときは。	テロリスト確保のさいになにかあったときは。	18	13
195	kuniwomamorukotogasaiyuusenda。	国を守ることが最優先だ。	国を守ることが最優先だ。	国を守る事が最優先だ。	12	12
196	demochottogenkidetekimashita。	でもちょっと元気出てきました。	でもちょっと元気出てきました。	でもちょっと元気出てきました。	15	15
197	sonohitoniawaseteageru。	その人に会わせてあげる。	その人に合わせてあげる。	その人に合わせてあげる。	12	11
198	shikyuuouenbutaiwomukawaseru。	至急応援部隊を向かわせる。	四球王エンブ台を迎わせる。	子宮応援舞台をむかわせる。	13	4
