NUM,ROMAJI,EXPECTED
46,omaetachimouosoikaranenasai。,お前たちもう遅いから寝なさい。
47,mawarigamenihairanakattandayo。,周りが目に入らなかったんだよ。
48,rihabiriwotantousurutanabedesu。,リハビリを担当する田辺です。
49,iroirokangaekatagaarukedo。,いろいろ考え方があるけど。
50,shokkumokangaetemiroyo。,ショックも考えてみろよ。
51,shouraiyuukounashin'yakuyachiryouhouga。,将来有効な新薬や治療法が。
52,mitsukarukanouseihazerojanai。,見つかる可能性はゼロじゃない。
53,kanjamoishimochiryounisen'nensuru。,患者も医師も治療に専念する。
54,suguomimaiikanakya。,すぐお見舞い行かなきゃ。
55,kurasunomin'nanikoekakeru。,クラスのみんなに声かける。
56,a也nodaikoubutsunogomatoufu。,亜也の大好物のごま豆腐。
57,akookaasan'yuugatabyouin'yottekurukara。,亜湖お母さん夕方病院寄ってくるから。
58,osokunarutoomoundakedo。,遅くなると思うんだけど。
59,narubekuhayakukaeruyounihasurukedo。,なるべく早く帰るようにはするけど。
60,watashimamitoyakusokuarundakara。,わたしマミと約束あるんだから。
61,imahakazokugaicchidanketsushite。,今は家族が一致団結して。
62,gato-bonu-runoke-kida。,ガトーボヌールのケーキだ。
63,ichiouninzuubunkattearuwayo。,一応人数分買ってあるわよ。
64,asoukun'niaitakutekitanonine。,麻生君に会いたくて来たのにね。
65,ichioukoehakaketanssukedone。,一応声はかけたんっすけどね。
66,nanikakanjigakawacchatta。,何か感じが変わっちゃった。
67,kondohatsukaman'naiyounishiroyo。,今度は捕まんないようにしろよ。
68,tochuumadeisshoniitandakedo。,途中まで一緒にいたんだけど。
69,tsuginonikkawatoudehakkensaretano。,次の日川島で発見されたの。
70,naninobyoukikadaremooshietekun'naishi。,何の病気か誰も教えてくんないし。
71,anmarishin'youshitenairashii。,あんまり信用してないらしい。
72,a也姉karenda-nishirushigatsuketetano。,亜也姉カレンダーに印がつけてたの。
73,tomodachikitekureteyokattawane。,友達来てくれてよかったわね。
74,kon'nanitakusanmoracchatta。,こんなにたくさんもらっちゃった。
75,ugoitekurutoomoimasukeredomo。,動いてくると思いますけれども。
76,ryoutewoagetetenohirawouenishite。,両手を上げて手のひらを上にして。
77,de-toniikerutonattara。,デートに行けるとなったら。
78,son'nakotonaidesutte。,そんなことないですって。
79,imadekirukotoganbaruttekimetanda。,今できること頑張るって決めたんだ。
80,gen'infumeinoshinkeihenseishikkan。,原因不明の神経変性疾患。
81,jaakekkyokukyounoikeuchitono。,じゃあ結局今日の池内との。
82,doushiyoukatoomottesa。,どうしようかと思ってさ。
83,sekkakunotanjoubinohini。,せっかくの誕生日の日に。
84,sakkibyouin'nidenwakiteta。,さっき病院に電話きてた。
85,mesuhaesawosagashiniderundakedo。,メスは餌を探しに出るんだけど。
86,sonokandon'naniharahettemo。,その間どんなに腹減っても。
87,zuttotamagomamottemattendayo。,ずっと卵守って待ってんだよ。
88,hontouhasenpaihakonaikamotteomotteta。,本当は先輩は来ないかもって思ってた。
89,naniitterukawakan'nakunacchaundatte。,何言ってるか分かんなくなっちゃうんだって。
90,saigonihanetakirininatte。,最後には寝たきりになって。
91,sonojinbutsuhahadenapankufasshon'ni。,その人物は派手なパンクファッションに。
92,miwotsutsundeitasoudesuga。,身を包んでいたそうですが。
93,masanian'nakanjideshita。,まさにあんな感じでした。
94,kiokunihajishingaarundesu。,記憶には自信があるんです。
95,sakihodoanatagamitanoha。,先ほどあなたが見たのは。
96,sakkikiokunihajishingaaruto。,さっき記憶には自信があると。
97,jishinganakunattekimashita。,自信がなくなってきました。
98,kon'nakakkoukareshinimiserarenaidesuyo。,こんな格好彼氏に見せられないですよ。
99,demomitemitakattawane。,でも見てみたかったわね。
100,souiukisakudakedehanakuteseikouhoudemo。,そういう奇策だけではなくて正攻法でも。
101,iroirooshietekudasaine。,いろいろ教えてくださいね。
102,jimushonokeieinikoukenshitekudasaine。,事務所の経営に貢献してくださいね。
103,sorehaiijanaidesuka。,それはいいじゃないですか。
104,kyouryokushitanohawatashitachidesu。,協力したのは私たちです。
105,watashimokyouryokuwoonegaisaretara。,私も協力をお願いされたら。
106,katsuraguraihakoumurimashitayo。,カツラぐらいは被りましたよ。
107,watashimochottohakyouryokushimashita。,私もちょっとは協力しました。
108,kouiutokihajankendesho。,こういう時はじゃんけんでしょ。
109,miyatasanjanken'nikatete。,宮田さんじゃんけんに勝てて。
110,omoikkirinonbirishichaimasho。,思いっきりのんびりしちゃいましょ。
111,toriaezuofurohairimashoune。,とりあえずお風呂入りましょうね。
112,osoroshiisatsujinjikengaokirukotonado。,恐ろしい殺人事件が起きる事など。
113,nonbirishiyoutteiimashitayone。,のんびりしようって言いましたよね。
114,sensei、konkaihaikurasenseidemomuridesu。,先生、今回はいくら先生でもムリです。
115,purodexyu-sa-noshigotodesho。,プロデューサーの仕事でしょ。
116,torikatanokufuudenantokasurukara。,撮り方の工夫で何とかするから。
117,asasugadaijoyuuttekanji。,あさすが大女優って感じ。
118,koukounotokinoyuujin'nandesu。,高校の時の友人なんです。
119,watashitachikokonitomatteruno。,私たちここに泊まってるの。
120,madakakedashimitaidesukedo。,まだ駆け出しみたいですけど。
121,ohadatsurutsuruninarundesutte。,お肌ツルツルになるんですって。
122,iroirotokuroushitandane。,いろいろと苦労したんだね。
123,watashihakonkaidakenandakedone。,私は今回だけなんだけどね。
124,mariesanhataichougawaruimitaide。,真理江さんは体調が悪いみたいで。
125,nanikachottokowasounahitone。,何かちょっと怖そうな人ね。
126,hontohaiihitonandayo。,ホントはいい人なんだよ。
127,asakarakantokunosugatagamiataranakute。,朝から監督の姿が見当たらなくて。
128,sukeju-rumokurucchatte。,スケジュールも狂っちゃって。
129,kekkongatsuitetasobaniochitemashita。,血痕が付いてたそばに落ちてました。
130,noborikumojinjadeattekudasai。,昇雲神社で会ってください。
131,watashison'name-rudashitemasen。,私そんなメール出してません。
132,soushinkirokuganokottemasuyo。,送信記録が残ってますよ。
133,onsendesatsujinjikentosouguushitano。,温泉で殺人事件と遭遇したの。
134,shashindakedewakaruwakenaidaro。,写真だけでわかるわけないだろ。
135,yamaokakantokutotashiromutsuminomaniha。,山岡監督と田代睦美の間には。
136,toiuokusokugatobikatteiru。,という憶測が飛び交っている。
137,masukomidewadaininatteirujikendakeni。,マスコミで話題になっている事件だけに。
138,shousosurebajimushononamaegaagarimasune。,勝訴すれば事務所の名前が上がりますね。
139,shochou、yarasetekudasai。,所長、やらせてください。
140,muzukashiijiken'ninarutoomoukedo。,難しい事件になると思うけど。
141,anatagasokomadeiundattara。,あなたがそこまで言うんだったら。
142,mutsumihahitowokorosuyounahitojanai。,睦美は人を殺すような人じゃない。
143,sorehawatashigayokushitteimasu。,それは私がよく知っています。
144,anatatokantokunosouhounokeitaini。,あなたと監督の双方の携帯に。
145,hoterunosaijoukainiarutenboufuro。,ホテルの最上階にある展望風呂。
146,mariesangadenwadeoshietekurete。,真理江さんが電話で教えてくれて。
147,tabuchisanhaanoyorutaichougawarukute。,田淵さんはあの夜体調が悪くて。
148,kooriyamamadeikukurumanonakakara。,郡山まで行く車の中から。
149,sakinikaettaowabiwoshiteokoutoomotte。,先に帰ったお詫びをしておこうと思って。
150,sokodesaijoukainotenboufuronokotowo。,そこで最上階の展望風呂の事を。
151,ohadagatsurutsuruninarukara。,お肌がツルツルになるから。
152,watashinihaanokogahan'nintohaomoenaino。,私にはあの子が犯人とは思えないの。
153,kyouryokusurukarananidemoittene。,協力するから何でも言ってね。
154,darekagakattenijibun'nokeitaiwotsukatte。,誰かが勝手に自分の携帯を使って。
155,me-ruwouttatoshitemokidukanaiwa。,メールを打ったとしても気づかないわ。
156,roketainorisutoninarimasu。,ロケ隊のリストになります。
157,shinhan'ningamitsukaranaimademo。,真犯人が見つからないまでも。
158,shoumeidekiruhitogairukamoshirenaidesho。,証明できる人がいるかもしれないでしょ。
159,houteidehaboushiwotottekudasai。,法廷では帽子を取ってください。
160,dehahikokujinhasekinimodottekudasai。,では被告人は席に戻ってください。
161,seppakuryuuzan'nokikengaattasoudesuga。,切迫流産の危険があったそうですが。
162,suunichinyuuinsurebashinpainaisoudesu。,数日入院すれば心配ないそうです。
163,jaasaibanhaizuresaikaisaremasune。,じゃあ裁判はいずれ再開されますね。
164,sorenishitemozendaimimon'ne。,それにしても前代未聞ね。
165,saibanchuuniryuuzanshisouninatte。,裁判中に流産しそうになって。
166,mutsumidoushiteoshietekurenakattandarou。,睦美どうして教えてくれなかったんだろう。
167,kantokugauramarerunantenaitoomou。,監督が恨まれるなんてないと思う。
168,kibishiikedoomoiyarinoaruhitodakara。,厳しいけど思いやりのある人だから。
169,jikentohakankeinaitoomoimasukedo。,事件とは関係ないと思いますけど。
170,jouren'niuttayounakigashimasune。,常連に売ったような気がしますね。
171,jayamaokasangasatsugaisaretajikokuni。,じゃ山岡さんが殺害された時刻に。
172,raunjideanatatoisshoniitanoha。,ラウンジであなたと一緒にいたのは。
173,ee、machigaiarimasen。,ええ、間違いありません。
174,arigatougozaimashita。,ありがとうございました。
175,yamaokakantokutomutsumichanga。,山岡監督と睦美ちゃんが。
176,shinjukunoba-detamatamanandesukedo。,新宿のバーでたまたまなんですけど。
177,nanikamutsumichan'nifurininarukotowo。,何か睦美ちゃんに不利になる事を。
178,tsugeguchisurumitaidehanashinikukutene。,告げ口するみたいで話しにくくてね。
179,kouchishonimodosaretasouyo。,拘置所に戻されたそうよ。
180,tanohitohazen'in'aribaiseiritsudesu。,他の人は全員アリバイ成立です。
181,iroirokiitemawattandesukedo。,色々訊いて回ったんですけど。
182,souiebatabuchimarikousandake。,そういえば田淵真理江さんだけ。
183,anonichisakinitoukyounikaettemasu。,あの日先に東京に帰ってます。
184,kayamapurodexyu-sa-gashougenshitemasu。,香山プロデューサーが証言してます。
185,tabuchimarikousan'noaribaidesu。,田淵真理江さんのアリバイです。
186,inta-nettowotsuujitetoukousurundesu。,インターネットを通じて投稿するんです。
187,watashionojonochoufandattande。,私オノジョの超ファンだったんで。
188,konodougagatoukousaretanoga。,この動画が投稿されたのが。
189,tsumarijiken'yokujitsunoasadesu。,つまり事件翌日の朝です。
190,yapparisatsueisaretanoha。,やっぱり撮影されたのは。
191,boushitomasukunootokoitajanaidesuka。,帽子とマスクの男いたじゃないですか。
192,anoshoutaigawakattandesu。,あの正体がわかったんです。
193,kurankuinsurukotoninarimashita。,クランクインする事になりました。
194,aiteyakuwotsutomerusutouken'ichisankara。,相手役を務める須藤健一さんから。
195,houfuwoukagaitaitoomoimasu。,抱負を伺いたいと思います。
196,bengowotantoushiterumonodesu。,弁護を担当してる者です。
197,anata、mutsumisan'nohatsukouhan'notoki。,あなた、睦美さんの初公判の時。
198,fan'nohitohatachiirikinshidesuyo。,ファンの人は立ち入り禁止ですよ。
199,acchigadamenarakocchida。,あっちがダメならこっちだ。
200,juunanseigaaruttekotojanaidesuka。,柔軟性があるって事じゃないですか。
201,kurumamadenoseteitadaite。,車まで乗せていただいて。
202,dousekurumanonakahataikutsudakara。,どうせ車の中は退屈だから。
203,kooriyamanoekidefan'nohitonitoraretano。,郡山の駅でファンの人に撮られたの。
204,kokokarakoroshiteageyou。,ここから殺してあげよう。
205,sorehaaribaidemonanidemonaizo。,それはアリバイでも何でもないぞ。
206,sekkakuyasashikushiteagetanoni。,せっかく優しくしてあげたのに。
207,nankaabunaifun'ikitteiuka。,なんか危ない雰囲気っていうか。
208,senseikonoheyananikaatsukunaidesuka。,先生この部屋何か暑くないですか。
209,rimokondokoicchattandarou。,リモコンどこいっちゃったんだろう。
210,zuttokikasetemorattattewakeda。,ずっと聞かせてもらったってわけだ。
211,yapparianoeizouniutsutteitanoha。,やっぱりあの映像に映っていたのは。
212,wirusuwomakoutoshiteitanda。,ウィルスを撒こうとしていたんだ。
213,otegaratoiitaitokorodagana。,お手柄と言いたいところだがな。
214,tsukamacchattamitaida。,つかまっちゃったみたいだ。
215,keikakuninanrashishouhaarimasen。,計画になんら支障はありません。
216,koregayamamurayoukonosaibou。,これが山村ヨウコの細胞。
217,suujikangonisaishusaretaketsuekideha。,数時間後に採取された血液では。
218,kanojogakansenshitaatoniittananikaga。,彼女が感染したあとに行った何かが。
219,nazerenrakuyokosanakattanda。,なぜ連絡よこさなかったんだ。
220,arenaratokkunikaisekishoriwooeta。,あれならとっくに解析処理を終えた。
221,nakaninanigahaitteitakaha。,中に何が入っていたかは。
222,anofairuwoazukarasetekure。,あのファイルを預からせてくれ。
223,orenohoudemoshirabetemitainda。,俺のほうでも調べてみたいんだ。
224,gamanshiyoutonasattemomudadesu。,我慢しようとなさっても無駄です。
225,kunrenwouketachouhon'nindesura。,訓練を受けた張本人ですら。
226,taekirerumonohaimasen。,耐え切れる者はいません。
227,isshonigohantaberutokoronano。,一緒にご飯食べるところなの。
228,nanigaattemooretachihaoyajiwoshinjiyou。,何があっても俺たちは親父を信じよう。
229,kon'natazunekatashikadekinakute。,こんな訪ね方しか出来なくて。
230,aruyatsunonamaetojuushowo。,あるヤツの名前と住所を。
231,oreniittekuretandesu。,俺に言ってくれたんです。
232,soshitarahontounisoitsugashinde。,そしたら本当にそいつが死んで。
233,yatsuraniyarareppanashida。,やつらにやられっぱなしだ。
234,keibikaishakaraeizougakimashita。,警備会社から映像が来ました。
235,kokosekyuriti-banzen'nohazudesuyone。,ここセキュリティー万全のはずですよね。
236,imasukoshiyasumaseterundesu。,いま少し休ませてるんです。
237,soreniyasumaserukotodeshouninhajinmonga。,それに休ませることで証人は尋問が。
238,saikaisarerukotohenokyoufuwoidakimasu。,再開されることへの恐怖を抱きます。
239,mamonakukanojohaochimasu。,間もなく彼女は落ちます。
240,masakagakkouyamerunantekotonaiyone。,まさか学校辞めるなんてことないよね。
241,shikkarioboetehoshindakedo。,しっかり覚えてほしんだけど。
242,ichidorikaishiteshimaebakantan'ni。,一度理解してしまえば簡単に。
243,chichioyanokotowoaitsunishiraseruna。,父親のことをあいつに知らせるな。
244,torimidashitematananiwosurukawakaran。,取り乱してまた何をするかわからん。
245,chottotoireittekuru。,ちょっとトイレ行ってくる。
246,zenzen'ochine-janaika。,全然落ちねーじゃないか。
247,yosouijouninebatteimasu。,予想以上に粘っています。
248,dattaramottoreberuwoagero。,だったらもっとレベルを上げろ。
249,shindeshimattaranidototegakari。,死んでしまったら二度と手がかり。
250,kakawaraserukotohahontounisaketaindaga。,関わらせることは本当に避けたいんだが。
251,jibun'noshoutaiwoabaitakiminiha。,自分の正体を暴いた君には。
252,subetewoshirukenrigaaruto。,全てを知る権利があると。
253,kimiwokonoken'nimakikondanohawarewareda。,君をこの件に巻き込んだのは我々だ。
254,aitsurawotsukamaeruchansunandaro。,あいつらを捕まえるチャンスなんだろ。
255,terorisutokakuhonosaininanikaattatokiha。,テロリスト確保の際に何かあった時は。
256,kuniwomamorukotogasaiyuusenda。,国を守ることが最優先だ。
257,atamasaeutarenakerebadaijoubudayo。,頭さえ撃たれなければ大丈夫だよ。
258,demochottogenkidetekimashita。,でもちょっと元気出てきました。
259,watashigaanatawoyondahontounoriyuu。,私があなたを呼んだ本当の理由。
260,sonohitoniawaseteageru。,その人に会わせてあげる。
261,tousangasupaidattehontounanokayo。,父さんがスパイだって本当なのかよ。
262,konoon'nanoiukotohadetarameda。,この女の言うことはでたらめだ。
263,kochirawoottekiteimasu。,こちらを追ってきています。
264,shikyuuouenbutaiwomukawaseru。,至急応援部隊を向かわせる。
265,son'namonsakkinoaoikurumawo。,そんなもんさっきの青い車を。
266,tsukamaetemirebawakarundayo。,捕まえてみればわかるんだよ。
267,jitsuhahitotsukininattakotoga。,実はひとつ気になったことが。
268,mousukoshidetaisetsunashouninwo。,もう少しで大切な証人を。
269,shoushougouin'natokorogaarimashite。,少々強引なところがありまして。
270,watashinihaanohitogahontounishouninwo。,私にはあの人が本当に証人を。
271,nanikaijittenaitoochitsukanakute。,何かいじってないと落ち着かなくて。
272,jidoushahanbaikaishanitsutomeru。,自動車販売会社に勤める。
273,genbaniarasottakeisekiganakattakotokara。,現場に争った形跡がなかったことから。
274,zuibunhenpinatokorodana。,ずいぶん辺鄙なところだな。
275,uirusuwokakushiteirundakara。,ウイルスを隠しているんだから。
276,konohitogasupaidattara。,この人がスパイだったら。
277,nakamawohikitsuretemodottekurukamoyo。,仲間を引き連れて戻ってくるかもよ。
278,hetanashinrisenshikakeyagatte。,下手な心理戦仕掛けやがって。
279,oretachininanimodekinakusaseru。,俺たちに何も出来なくさせる。
280,imanotokoromiataranai。,今のところ見当たらない。
281,tateniyomutoantagahan'nindatte。,縦に読むとあんたが犯人だって。
282,son'namonsakkinoaoikuruma。,そんなもんさっきの青い車。
283,antahaarakajimenakamakara。,あんたはあらかじめ仲間から。
284,aoikurumagaikutokiiteitanjanaindesuka。,青い車が行くと聞いていたんじゃないんですか。
285,oremohayakukidukubekidatta。,俺も早く気づくべきだった。
286,antagahan'nindattewakaruyouninatteimasu。,あんたが犯人だってわかるようになっています。
287,iiwakehahonbudeyukkurishiro。,言い訳は本部でゆっくりしろ。
288,anatahawatashitachigaiukotowo。,あなたは私たちが言うことを。
289,hi-ro-gahan'nin'nosenakani。,ヒーローが犯人の背中に。
290,juuwotsukitsukerushi-nwomitara。,銃を突きつけるシーンを見たら。
291,korekarahausodatteomoinasai。,これからは嘘だって思いなさい。
292,sho-toriko-runoo-tomatikkuha。,ショートリコールのオートマティックは。
293,sorejaasaigonimouhitotsutanomu。,それじゃあ最後にもうひとつ頼む。
294,joukuukaragenbanokakuteihadekimasen。,上空から現場の画定はできません。
295,sonogonojoukyouhoukokuonegaishimasu。,その後の状況報告お願いします。
296,koredematasupaitoshite。,これでまたスパイとして。
297,otagaiganbatteikiteikimashoune。,お互い頑張って生きていきましょうね。
298,houkokugaokuretesumimasen。,報告が送れてすみません。
299,juuwoubawareutaremashita。,銃を奪われ撃たれました。
300,jibun'noshoutaigabaretanoka。,自分の正体がバレたのか。
301,marusan'nomatsurinoyoteiwohayameru。,マルさんの祭りの予定を早める。
302,konomamanonagaredekekkouda。,このままの流れで決行だ。
303,konokogataoretakarabyouin'nitsureteiku。,この子が倒れたから病院に連れていく。
304,takagikunkaniinakattandakedo。,高木君家にいなかったんだけど。
305,kokoroatarimitekurukaraomaehakokoniite。,心当たり見てくるからお前はここにいて。
306,kochiranohoutomokakuninshitemimasu。,こちらの方とも確認してみます。
307,harukachankonbyouin'nandesukedo。,遥ちゃん今病院なんですけど。
308,oniisan'nokotosugokushinpaishiteite。,お兄さんのことすごく心配していて。
309,chikanoeakontoro-ruerianikitara。,地下のエアコントロールエリアに来たら。
310,taima-gatsuiteirundesu。,タイマーが付いているんです。
311,achikochiniookiiho-suga。,あちこちに大きいホースが。
312,monita-woeakontoro-ruerianikirikaete。,モニターをエアコントロールエリアに切り替えて。
313,imasugukuuchouwozenbutomete。,今すぐ空調を全部止めて。
314,chikaeakontoro-rueriani。,地下エアコントロールエリアに。
315,kansenshitatokimattawakejanaidarou。,感染したと決まったわけじゃないだろう。
316,anihawatashinonakadetounishinimashita。,兄は私の中でとうに死にました。
317,keisatsuchoukeibikyokukouantokushusanka。,警察庁警備局公安特殊三課。
318,taiterowosenmontoshiteirusoshikida。,対テロを専門としている組織だ。
319,kenkyuushitsunimodorukihaarimasen。,研究室に戻る気はありません。
320,jounan'idaikyuumeikyuukyuusenta-。,城南医大救命救急センター。
321,zuttowatashitachitoirukara。,ずっと私たちといるから。
322,harukachan'niwatasanakyaikenaimonogaaru。,遥ちゃんに渡さなきゃいけないものがある。
323,yapparikuwaretanohahoushou。,やっぱり食われたのは宝生。
324,imagorochimanakoninatteokkaketeiruyo。,今頃血眼になって追っかけているよ。
325,warewarehenowirusuterohashippaida。,我々へのウィルステロは失敗だ。
326,zen'inkorosutsumoridattano。,全員殺すつもりだったの。
327,konokonoinochinohoshouhanai。,この子の命の保障はない。
328,sugunishutsudounoyouseiwosuru。,すぐに出動の要請をする。
329,atarebakouatsudenryuuganagarete。,当たれば高圧電流が流れて。
330,anatatachiniterowotomeruchikarahanai。,あなた達にテロを止める力はない。
331,konokunigadon'nanikusatteruka。,この国がどんなに腐ってるか。
332,doushitarakonokuniwosukuerunoka。,どうしたらこの国を救えるのか。
333,konokunihaichidohorobiruhitsuyougaaru。,この国は一度滅びる必要がある。
334,orenihatadazuttogawaniitehoshii。,俺にはただずっと側にいてほしい。
335,antanihainakattanoka。,あんたにはいなかったのか。
336,korewotodokenikitekuretano。,これを届けにきてくれたの。
337,yasashiioniichandeurayamashiinatte。,優しいお兄ちゃんでうらやましいなって。
338,houshouharikujoujieitainiitatoki。,宝生は陸上自衛隊にいた時。
339,imakosoichigantonaranakerebanaranai。,今こそ一丸とならなければならない。
340,takagikungainakunattara。,高木君がいなくなったら。
341,soretonakagawasaorinokotodaga。,それと中川沙織のことだが。
342,kyoukouansankaniuirusugashikakerarete。,今日公安三課にウイルスが仕掛けられて。
343,anataniaitaitteitterunoyo。,あなたに会いたいって言ってるのよ。
344,soshitekononakanotsuushinka-dokaraha。,そしてこの中の通信カードからは。
345,demokoredetsuisekihafukanouyo。,でもこれで追跡は不可能よ。
346,tsuushinka-donodenpagatodaemashita。,通信カードの電波が途絶えました。
347,nanitoshitedemoseikousasero。,何としてでも成功させろ。
348,omaenihamounochihanaizo。,お前にはもう後はないぞ。
349,soreniomaenokatsuyakuhaorenoshusseda。,それにお前の活躍は俺の出世だ。
350,aikawarazukimochiiihodojibunhon'i。,相変わらず気持ちいいほど自分本位。
351,hanzainoteguchinotayoukawokangami。,犯罪の手口の多様化をかんがみ。
352,kagakusousanadonosenmontekisousade。,科学捜査などの専門的捜査で。
353,kyouakuhanzainitaioushiteikuchimudesu。,凶悪犯罪に対応していくチムです。
354,anoon'natodoukidasoudesu。,あの女と同期だそうです。
355,soreniatarashiibushonoshippaiha。,それに新しい部署の失敗は。
356,dokonobushokaramoiranaiseieitachiga。,どこの部署からもいらない精鋭たちが。
357,yougishajaarimasen'yo。,容疑者じゃありませんよ。
358,kyoukarakochiranihaizokuninatta。,今日からこちらに配属になった。
359,eritobutainoichiin'nanoyoanata。,エリト部隊の一員なのよあなた。
360,kagakusousakenkyuujokaraidoushitekita。,科学捜査研究所から異動してきた。
361,bouryokujikenwookoshitemashitene。,暴力事件を起こしてましてね。
362,yareruwakenaijanai。,やれるわけないじゃない。
363,hontounidoudemoiinogakichatta。,本当にどうでもいいのが来ちゃった。
364,douzoyoroshikuonegaishimasu。,どうぞよろしくお願いします。
365,kon'nabushoyarukotonaidesho。,こんな部署やることないでしょ。
366,mimotofumeinoshoushitaigahakkensareta。,身元不明の焼死体が発見された。
367,jouhanshingamarukogedattayoudesu。,上半身が丸焦げだったようです。
368,atokataudegaoreteitatoka。,あと片腕が折れていたとか。
369,watashikeijijanaidesukara。,わたし刑事じゃないですから。
370,imademonattokushitemasenkara。,今でも納得してませんから。
371,keisatsutoiedomoneidouhaaruno。,警察といえどもね異動はあるの。
372,watashiningen'nikyouminainde。,わたし人間に興味ないんで。
373,uchinimosousakenhaarimasukedo。,うちにも捜査権はありますけど。
374,katagirisan'nihaoniaidesune。,片桐さんにはお似合いですね。
375,ossanmosouchanto。,おっさんもそうちゃんと。
376,soutoutebirokuyatteitayoude。,相当手広くやっていたようで。
377,tankashitanaizougafunsaishiteta。,炭化した内臓が粉砕してた。
378,doumokoumoarimasen。,どうもこうもありません。
379,dakaraaitsunoshitaniireta。,だからあいつの下に入れた。
380,chakuninhayadeharikitten'nohawakaruga。,着任早で張り切ってんのは分かるが。
381,akumadetaigaitekinamonoda。,あくまで対外的なものだ。
382,kocchimokomattenaindene。,こっちも困ってないんでね。
383,nodachisanjikanhosanoraibarutoshiteha。,野立参事官補佐のライバルとしては。
384,saigonotsuuwaworokuonshitemashita。,最後の通話を録音してました。
385,konodenwanoarujigamuriyari。,この電話の主が無理やり。
386,tettouninoborasetakanouseiga。,鉄塔に登らせた可能性が。
387,jaakonochakushinrirekishirabereba。,じゃあこの着信履歴調べれば。
388,chuukeiantenadattakotogawakarimashita。,中継アンテナだったことが分かりました。
389,kaketamonotoomowaremasu。,かけたものと思われます。
390,uotsukanobingakorogatteta。,ウオツカの瓶が転がってた。
391,son'namurishiteugokanakutemoiijanai。,そんな無理して動かなくてもいいじゃない。
392,karegatsukattetaburushitokara。,彼が使ってたブルシトから。
393,busshoukarakoregurainokotohawakarunoyo。,物証からこれぐらいのことは分かるのよ。
394,sorekaratsuidenigenbade。,それからついでに現場で。
